epoch,tow,pos_err_m,n_dd_factors,dd_pr_rms_raw_m,dd_pr_rms_huber_m,lm_iterations,lm_converged,gnss_solved,anchor_factors,marginal_prior_dims,recovery_fired,imu_fill
0,187470.0,0.058269408865500985,0,inf,inf,0,False,False,0,0,False,True
1,187470.2,0.5117956512791504,14,1.189815808719575,1.0646171571266312,2,False,True,0,0,False,False
2,187470.4,0.8020942371437371,20,0.5828795995998626,0.5828795995998626,2,False,True,0,0,False,False
3,187470.6,0.9537061747364552,27,0.4959610279731447,0.4959610279731447,5,True,True,0,0,False,False
4,187470.8,0.2039492441525379,34,0.6109759421715764,0.6109759421715764,5,True,True,3,6,False,False
5,187471.0,0.08868811496509266,34,0.6475542356979489,0.6475542356979489,3,True,True,6,6,False,False
6,187471.2,0.06711636634313621,34,0.6718285948010885,0.6718285948010885,3,True,True,9,6,False,False
7,187471.4,0.06312844385526849,35,0.6912002062224961,0.6912002062224961,3,True,True,12,6,False,False
8,187471.6,0.06457577478376078,35,0.7368440822034804,0.7368440822034804,3,True,True,15,6,False,False
9,187471.8,0.06760243637184786,35,0.7792137901817923,0.7792137901817923,2,True,True,15,6,False,False
10,187472.0,0.07154933551420678,35,0.8505797386268927,0.8505797386268927,2,True,True,15,6,False,False
11,187472.2,0.0733169509138963,35,0.8753418016231351,0.8753418016231351,2,True,True,15,6,False,False
12,187472.4,0.07416174338249956,35,0.9809818428145362,0.9809818428145362,2,True,True,15,6,False,False
13,187472.6,0.07739610175142225,35,1.0495851310745925,1.0492492521969015,2,False,True,15,6,False,False
14,187472.8,0.07648346848966699,35,1.109639969440413,1.065194560618752,2,True,True,15,6,False,False
15,187473.0,0.07597072643579694,35,1.0195296625331756,1.004456311223571,2,True,True,15,6,False,False
16,187473.2,0.0759357291255517,35,0.9806993856390788,0.9806993856390788,2,False,True,15,6,False,False
17,187473.4,0.07607661682761184,35,1.0069524020370584,1.0069524020370584,2,False,True,15,6,False,False
18,187473.6,0.07749043130323738,35,1.0507875507797688,1.0507875507797688,2,False,True,15,6,False,False
19,187473.8,0.07761719254134143,35,1.0409406171112072,1.0409406171112072,2,True,True,15,6,False,False
20,187474.0,0.07843235136388418,35,1.080522357444562,1.080522357444562,2,True,True,15,6,False,False
21,187474.2,0.08055439416247666,35,1.1999554145035782,1.1799522529106352,2,True,True,15,6,False,False
22,187474.4,0.07812308917365698,35,1.2579471284610555,1.2026609634747296,2,True,True,15,6,False,False
23,187474.6,0.07549253008580863,35,1.3085291579817704,1.2362095211313895,2,True,True,15,6,False,False
24,187474.8,0.07289815316185347,35,1.3474999029771209,1.2489972873645658,2,True,True,15,6,False,False
25,187475.0,0.07159111277094786,35,1.4344570247089092,1.2872006135639018,2,True,True,15,6,False,False
26,187475.2,0.0720630234627725,35,1.4720974563563687,1.309854267577488,2,True,True,15,6,False,False
27,187475.4,0.0713253053206807,35,1.5398441596888541,1.3482975251900322,2,True,True,15,6,False,False
28,187475.6,0.07366521397131523,35,1.598854136557791,1.3857221047882586,2,True,True,15,6,False,False
29,187475.8,0.07487298429777779,35,1.6596770951577142,1.4045842460020166,2,True,True,15,6,False,False
30,187476.0,0.074855698930845,35,1.7245546581264874,1.436240918731009,2,False,True,15,6,False,False
31,187476.2,0.07350192149213738,35,1.718576276666841,1.4283452892232325,2,True,True,15,6,False,False
32,187476.4,0.0750275645656819,35,1.537341206407367,1.3481981375073298,2,False,True,15,6,False,False
33,187476.6,0.07554637766947667,35,1.457207410585297,1.3195635139049866,2,True,True,15,6,False,False
34,187476.8,0.07589930963059364,35,1.4539384507192008,1.3028382400296996,2,True,True,15,6,False,False
35,187477.0,0.0756162864839946,35,1.401261359128918,1.282359710846924,2,True,True,15,6,False,False
36,187477.2,0.07532173208400436,35,1.3278659703703575,1.2426010476149685,2,True,True,15,6,False,False
37,187477.4,0.07553245287909477,35,1.2578042396782978,1.218078789825995,2,True,True,15,6,False,False
38,187477.6,0.07517354756502467,35,1.2398477176787204,1.2073664023532216,2,True,True,15,6,False,False
39,187477.8,0.07090209940241743,35,1.240233469949029,1.1906409669427391,2,True,True,15,6,False,False
40,187478.0,0.06921982053584341,35,1.2782047021892498,1.200198777970917,2,True,True,15,6,False,False
41,187478.2,0.06848436798889543,35,1.2963025269879365,1.2057579369942468,2,True,True,15,6,False,False
42,187478.4,0.06943556298574365,35,1.2851358437153626,1.2243378786431762,2,True,True,15,6,False,False
43,187478.6,0.0698743309074515,35,1.2239761095541428,1.1912709743891963,2,True,True,15,6,False,False
44,187478.8,0.07104647807041539,35,1.2032849151592908,1.188897002380315,2,True,True,15,6,False,False
45,187479.0,0.07283072293841064,35,1.2358979147943252,1.1913603304269231,2,False,True,15,6,False,False
46,187479.2,0.07203689758558177,35,1.2952951417047123,1.2142021119403552,2,True,True,15,6,False,False
47,187479.4,0.06959524954519317,35,1.2037867051152382,1.1570523535406885,2,True,True,15,6,False,False
48,187479.6,0.0681028998635817,35,1.1589066682803792,1.121342650743473,2,True,True,15,6,False,False
49,187479.8,0.06570289667151136,35,1.0546155666837524,1.0546155666837524,2,True,True,15,6,False,False
50,187480.0,0.06355175649578408,35,0.9866409945128716,0.9866409945128716,2,True,True,15,6,False,False
51,187480.2,0.061124540225937614,35,0.9817517097787717,0.9817517097787717,2,True,True,15,6,False,False
52,187480.4,0.06034566416795872,35,0.9442183707838689,0.9442183707838689,2,True,True,15,6,False,False
53,187480.6,0.06000892291674936,35,1.0024793625697288,1.0024793625697288,2,True,True,15,6,False,False
54,187480.8,0.05852495549467715,35,0.9364804188077672,0.9364804188077672,2,True,True,15,6,False,False
55,187481.0,0.059360274573309994,35,0.9080013957060776,0.9080013957060776,2,True,True,15,6,False,False
56,187481.2,0.05953958555402461,35,0.9123822739669137,0.9123822739669137,2,True,True,15,6,False,False
57,187481.4,0.05912633995079413,35,0.895597212647481,0.895597212647481,2,True,True,15,6,False,False
58,187481.6,0.0613736039748597,35,1.070092049930668,1.0328416341969464,2,False,True,15,6,False,False
59,187481.8,0.06471553747795047,35,1.0836064440796467,1.027465605157657,2,False,True,15,6,False,False
60,187482.0,0.070725592442577,35,1.1813165405255996,1.0621211106398967,2,False,True,15,6,False,False
61,187482.2,0.07107244623874466,35,1.2084707479580457,1.0612804016124469,2,True,True,15,6,False,False
62,187482.4,0.07341564432072643,35,1.180021301676056,1.0486229383991588,2,True,True,15,6,False,False
63,187482.6,0.07509169387543214,35,1.1535999285469358,1.0306013177327256,2,True,True,15,6,False,False
64,187482.8,0.08119285553564087,35,1.1062936229698546,1.016286347520143,2,True,True,15,6,False,False
65,187483.0,0.09150619957719416,35,1.0847259065015546,0.9833506013363118,2,True,True,15,6,False,False
66,187483.2,0.09588194863400518,35,1.1304910361335918,1.031272296867487,2,True,True,15,6,False,False
67,187483.4,0.12051380708402566,34,1.1360362655227239,0.989964145810851,2,False,True,15,6,False,False
68,187483.6,0.12406323025603622,34,1.2616958490038017,1.1445387316561535,2,True,True,15,6,False,False
69,187483.8,0.13342851502456266,34,1.1104935703916132,1.0330946458522505,2,False,True,15,6,False,False
70,187484.0,0.14317535995794942,34,0.9171540978403481,0.909217174080867,2,False,True,15,6,False,False
71,187484.2,0.15353401720134022,34,0.8063287052130275,0.8063287052130275,2,False,True,15,6,False,False
72,187484.4,0.16125614729083892,35,0.6807370512398822,0.6807370512398822,2,False,True,15,6,False,False
73,187484.6,0.17003342483010203,35,0.6689940798249021,0.6689940798249021,2,True,True,15,6,False,False
74,187484.8,0.17731797550224193,35,0.5676761119427963,0.5676761119427963,2,True,True,15,6,False,False
75,187485.0,0.18496816511311553,35,0.5144403078093073,0.5144403078093073,2,True,True,15,6,False,False
76,187485.2,0.1815814028985066,35,0.43007063478289476,0.43007063478289476,2,True,True,15,6,False,False
77,187485.4,0.17901368107088392,35,0.3712395036742155,0.3712395036742155,2,True,True,15,6,False,False
78,187485.6,0.1704802393799763,35,0.3210876626404944,0.3210876626404944,2,True,True,15,6,False,False
79,187485.8,0.15416300363388816,35,0.3056384072892245,0.3056384072892245,3,True,True,15,6,False,False
80,187486.0,0.13167655905675213,35,0.2727802360270882,0.2727802360270882,3,True,True,15,6,False,False
81,187486.2,0.12134714318526495,35,0.2833465778417594,0.2833465778417594,3,True,True,15,6,False,False
82,187486.4,0.1202459556298187,35,0.2680038812066652,0.2680038812066652,3,True,True,15,6,False,False
83,187486.6,0.12777853223660604,35,0.30665734327951333,0.30665734327951333,3,True,True,15,6,False,False
84,187486.8,0.13279397779928673,35,0.29385098354717226,0.29385098354717226,3,True,True,15,6,False,False
85,187487.0,0.13242640760353785,35,0.3028537332879674,0.3028537332879674,3,True,True,15,6,False,False
86,187487.2,0.10370758477400037,35,0.296968577356337,0.296968577356337,3,True,True,15,6,False,False
87,187487.4,0.08003470717385235,35,0.29180170952378565,0.29180170952378565,3,True,True,15,6,False,False
88,187487.6,0.05332285565177023,35,0.31697684567247436,0.31697684567247436,3,True,True,15,6,False,False
89,187487.8,0.0347957181040674,35,0.30893271604040323,0.30893271604040323,3,True,True,15,6,False,False
90,187488.0,0.014984852717552974,35,0.31017935065037305,0.31017935065037305,3,True,True,15,6,False,False
91,187488.2,0.024507569476882905,34,0.35299205179579074,0.35299205179579074,2,True,True,15,6,False,False
92,187488.4,0.02700292001784251,33,0.34229640412708706,0.34229640412708706,2,True,True,15,6,False,False
93,187488.6,0.027709221823805304,32,0.378293117021931,0.378293117021931,2,True,True,15,6,False,False
94,187488.8,0.02550275506471905,31,0.41805346874677846,0.41805346874677846,2,True,True,15,6,False,False
95,187489.0,0.029395888853922813,30,0.4687034167162308,0.4687034167162308,2,True,True,15,6,False,False
96,187489.2,0.031420798862644685,30,0.44265101607373697,0.44265101607373697,2,True,True,15,6,False,False
97,187489.4,0.021921984832113547,31,0.6686439226885398,0.6686439226885398,2,True,True,15,6,False,False
98,187489.6,0.020409797450484088,32,0.5956521857923027,0.5956521857923027,2,True,True,15,6,False,False
99,187489.8,0.017938769797505617,33,0.5565983104594188,0.5565983104594188,2,True,True,15,6,False,False
100,187490.0,0.014750186399474,34,0.5076125137028697,0.5076125137028697,2,True,True,15,6,False,False
101,187490.2,0.03103865089365476,35,0.4399502708080063,0.4399502708080063,2,True,True,15,6,False,False
102,187490.4,0.037897028941354015,34,0.39106161937085976,0.39106161937085976,2,True,True,15,6,False,False
