epoch,tow,pos_err_m,n_dd_factors,dd_pr_rms_raw_m,dd_pr_rms_huber_m,lm_iterations,lm_converged,gnss_solved,anchor_factors,marginal_prior_dims,recovery_fired,imu_fill
0,187470.0,0.058269408865500985,0,inf,inf,0,False,False,0,0,False,True
1,187470.2,0.5117956512791504,14,1.189815808719575,1.0646171571266312,2,False,True,0,0,False,False
2,187470.4,0.8020942371437371,20,0.5828795995998626,0.5828795995998626,2,False,True,0,0,False,False
3,187470.6,0.9537061747364552,27,0.4959610279731447,0.4959610279731447,5,True,True,0,0,False,False
4,187470.8,1.0553121480592575,34,0.4693962325232384,0.4693962325232384,6,True,True,0,6,False,False
5,187471.0,1.0461457287553224,34,0.44260568302569364,0.44260568302569364,3,True,True,0,6,False,False
6,187471.2,1.0950712689846458,34,0.4841271447329996,0.4841271447329996,3,True,True,0,6,False,False
7,187471.4,1.1367433586220885,35,0.5184722690399607,0.5184722690399607,3,True,True,0,6,False,False
8,187471.6,1.1742564356094922,35,0.5681088449614529,0.5681088449614529,3,True,True,0,6,False,False
9,187471.8,1.1983472917667133,35,0.668931240174742,0.668931240174742,2,True,True,0,6,False,False
10,187472.0,1.212408253028249,35,0.7697257581490133,0.7697257581490133,2,True,True,0,6,False,False
11,187472.2,1.2280109294933903,35,0.7685616397084126,0.7685616397084126,2,True,True,0,6,False,False
12,187472.4,1.2347508839636931,35,0.9156586392746974,0.9030501195334136,2,False,True,0,6,False,False
13,187472.6,1.2364071351395025,35,0.9909189764432577,0.9379497618786655,2,False,True,0,6,False,False
14,187472.8,1.2280015917860103,35,1.0648450283256234,0.9732084239353003,2,False,True,0,6,False,False
15,187473.0,1.2048927777043654,35,0.9761916629703616,0.9338992152467275,2,False,True,0,6,False,False
16,187473.2,1.181390074667514,35,0.9041472456469308,0.9041472456469308,2,False,True,0,6,False,False
17,187473.4,1.1672595009856463,35,0.898827832514478,0.898827832514478,2,False,True,0,6,False,False
18,187473.6,1.1715729923211728,35,0.9012638446985654,0.9012638446985654,2,False,True,0,6,False,False
19,187473.8,1.191212752316508,35,0.8617492693114892,0.8617492693114892,2,False,True,0,6,False,False
20,187474.0,1.2225894675797275,35,0.8986498819108019,0.8986498819108019,2,True,True,0,6,False,False
21,187474.2,1.2637355389231737,35,1.0217307884362858,1.0070127856822235,2,True,True,0,6,False,False
22,187474.4,1.2960559829900702,35,1.1106298832486488,1.056820893909482,3,True,True,0,6,False,False
23,187474.6,1.3179803757450474,35,1.1750545840726683,1.0997232013261464,4,True,True,0,6,False,False
24,187474.8,1.3228486067469374,35,1.239679589391634,1.1326467870857482,4,True,True,0,6,False,False
25,187475.0,1.318357712866295,35,1.3421015140517447,1.1761765318285795,4,True,True,0,6,False,False
26,187475.2,1.3126612973083427,35,1.3810037000562032,1.1902557117598793,4,True,True,0,6,False,False
27,187475.4,1.3141173356866718,35,1.449710171763177,1.2178369689932627,4,True,True,0,6,False,False
28,187475.6,1.3303597057745717,35,1.502842354017162,1.2361149960544533,4,True,True,0,6,False,False
29,187475.8,1.3525180104710062,35,1.576096968841978,1.2554914851178234,4,True,True,0,6,False,False
30,187476.0,1.3814082390721478,35,1.6455040880338156,1.280008057470899,4,True,True,0,6,False,False
31,187476.2,1.4091279967214294,35,1.6499884696818807,1.2779839919447984,4,True,True,0,6,False,False
32,187476.4,1.4312477776867512,35,1.4606608271209711,1.1977436546445774,4,True,True,0,6,False,False
33,187476.6,1.4448757364462852,35,1.3760551245324246,1.1704134108739772,4,True,True,0,6,False,False
34,187476.8,1.4432670976189559,35,1.3941739980541379,1.1733602264539966,4,True,True,0,6,False,False
35,187477.0,1.4320188805098217,35,1.3370675856876204,1.1520457872901186,3,True,True,0,6,False,False
36,187477.2,1.4143159124483333,35,1.2569660603667565,1.1120870050494491,3,True,True,0,6,False,False
37,187477.4,1.3944602157156007,35,1.17197918691099,1.0831890549416805,2,False,True,0,6,False,False
38,187477.6,1.3676209212571562,35,1.1613858430556687,1.0826967024506382,2,False,True,0,6,False,False
39,187477.8,1.3307914460059818,35,1.1863690023627476,1.0883756297132878,2,False,True,0,6,False,False
40,187478.0,1.285343239535698,35,1.2416082636257955,1.111669969706079,2,False,True,0,6,False,False
41,187478.2,1.2377055689354344,35,1.2627857899627837,1.1210065163892855,2,False,True,0,6,False,False
42,187478.4,1.2026692783227824,35,1.2176862059518954,1.1111406150253915,2,False,True,0,6,False,False
43,187478.6,1.173635002564567,35,1.1444026445386888,1.074149733075955,2,False,True,0,6,False,False
44,187478.8,1.1512658219104517,35,1.1130427573793955,1.068334292928414,2,False,True,0,6,False,False
45,187479.0,1.132691266179787,35,1.152534492414581,1.0760529330811397,2,False,True,0,6,False,False
46,187479.2,1.11234549111576,35,1.2252613461319257,1.115997471850677,2,False,True,0,6,False,False
47,187479.4,1.080669205047521,35,1.13680778553759,1.081563795698642,2,False,True,0,6,False,False
48,187479.6,1.0334673430505106,35,1.108859588555339,1.058725391040699,2,False,True,0,6,False,False
49,187479.8,0.9733869621975709,35,1.0090292725891858,1.0060332393922444,2,False,True,0,6,False,False
50,187480.0,0.8925126450141484,35,0.9650767259841387,0.9650767259841387,2,False,True,0,6,False,False
51,187480.2,0.8207542624685134,35,0.9357538901523598,0.9357538901523598,2,False,True,0,6,False,False
52,187480.4,0.7610176378009398,35,0.8822550443614078,0.8822550443614078,2,False,True,0,6,False,False
53,187480.6,0.7095849920487951,35,0.9430228275911057,0.9430228275911057,2,True,True,0,6,False,False
54,187480.8,0.6669789052218248,35,0.8724802201671008,0.8724802201671008,2,True,True,0,6,False,False
55,187481.0,0.6400025360322154,35,0.8358173388909728,0.8358173388909728,2,True,True,0,6,False,False
56,187481.2,0.6178639102424581,35,0.8476239285667871,0.8476239285667871,2,True,True,0,6,False,False
57,187481.4,0.6031826297435908,35,0.8218266366439816,0.8218266366439816,2,True,True,0,6,False,False
58,187481.6,0.5900932944863878,35,1.0105034584125565,0.9833462629409699,2,False,True,0,6,False,False
59,187481.8,0.5747022565967119,35,1.02859832813837,0.9888278956250169,2,False,True,0,6,False,False
60,187482.0,0.5619287133278258,35,1.1229836897519216,1.0285740188007706,2,False,True,0,6,False,False
61,187482.2,0.5416761291511504,35,1.1502331290808896,1.039202412404508,2,False,True,0,6,False,False
62,187482.4,0.5143233432584728,35,1.1174850635054903,1.0315737325073076,2,False,True,0,6,False,False
63,187482.6,0.4863808412812209,35,1.0852558498754836,1.0170761864316284,2,False,True,0,6,False,False
64,187482.8,0.4672324842015509,35,1.0348513273176407,1.003563751232215,2,False,True,0,6,False,False
65,187483.0,0.4667324860137274,35,0.9994427635259864,0.9668460728657888,2,False,True,0,6,False,False
66,187483.2,0.47978036163284493,35,1.0479780251504935,1.0218254771102218,2,False,True,0,6,False,False
67,187483.4,0.5632573955216792,34,0.9447421312640354,0.9043725945843512,2,False,True,0,6,False,False
68,187483.6,0.6167955408731243,34,1.2108597474557896,1.1190838145480768,2,False,True,0,6,False,False
69,187483.8,0.6625398244240407,34,1.0425439174820708,1.0174961276249155,2,False,True,0,6,False,False
70,187484.0,0.686494030709117,34,0.8506574750089246,0.8506574750089246,2,False,True,0,6,False,False
71,187484.2,0.6998856619931147,34,0.7549753565354568,0.7549753565354568,2,False,True,0,6,False,False
72,187484.4,0.6937360331981216,35,0.6432053581441926,0.6432053581441926,2,False,True,0,6,False,False
73,187484.6,0.6881255548305036,35,0.6398131206219764,0.6398131206219764,2,False,True,0,6,False,False
74,187484.8,0.679920571425438,35,0.5649556532951865,0.5649556532951865,3,True,True,0,6,False,False
75,187485.0,0.6819217469689416,35,0.5317699237396148,0.5317699237396148,3,True,True,0,6,False,False
76,187485.2,0.6759010845364375,35,0.4722696644041346,0.4722696644041346,3,True,True,0,6,False,False
77,187485.4,0.675957928234945,35,0.4122601804445998,0.4122601804445998,3,True,True,0,6,False,False
78,187485.6,0.6781519680576429,35,0.39465474861401734,0.39465474861401734,3,True,True,0,6,False,False
79,187485.8,0.6492614409690086,35,0.388873723470229,0.388873723470229,3,True,True,0,6,False,False
80,187486.0,0.6077234270710496,35,0.36146581366431313,0.36146581366431313,3,True,True,0,6,False,False
81,187486.2,0.5555086760405683,35,0.38396603876617746,0.38396603876617746,3,True,True,0,6,False,False
82,187486.4,0.5003351346463395,35,0.3708941581599705,0.3708941581599705,3,True,True,0,6,False,False
83,187486.6,0.46158840610351387,35,0.3531825725524188,0.3531825725524188,3,True,True,0,6,False,False
84,187486.8,0.4340901790197326,35,0.31807118453221755,0.31807118453221755,3,True,True,0,6,False,False
85,187487.0,0.41614742935959026,35,0.30091481684317434,0.30091481684317434,3,True,True,0,6,False,False
86,187487.2,0.3952499595112832,35,0.27250148076652164,0.27250148076652164,3,True,True,0,6,False,False
87,187487.4,0.3945435438228004,35,0.2399384077718357,0.2399384077718357,3,True,True,0,6,False,False
88,187487.6,0.40670763900551377,35,0.23687426278886647,0.23687426278886647,3,True,True,0,6,False,False
89,187487.8,0.428876100890271,35,0.22549757795348518,0.22549757795348518,3,True,True,0,6,False,False
90,187488.0,0.45094804998564436,35,0.24560805334481214,0.24560805334481214,3,True,True,0,6,False,False
91,187488.2,0.5012795380342879,34,0.2634906204304817,0.2634906204304817,3,True,True,0,6,False,False
92,187488.4,0.5403202017035581,33,0.26607518206756525,0.26607518206756525,3,True,True,0,6,False,False
93,187488.6,0.570519240470895,32,0.30940173300694995,0.30940173300694995,3,True,True,0,6,False,False
94,187488.8,0.5896793994190759,31,0.3667707155351982,0.3667707155351982,3,True,True,0,6,False,False
95,187489.0,0.6072234241671329,30,0.4166688002979492,0.4166688002979492,3,True,True,0,6,False,False
96,187489.2,0.6142853759556071,30,0.41177196432547025,0.41177196432547025,2,True,True,0,6,False,False
97,187489.4,0.599502972483914,31,0.6952651615652244,0.6952651615652244,3,True,True,0,6,False,False
98,187489.6,0.5921071747107121,32,0.5954605925941074,0.5954605925941074,3,True,True,0,6,False,False
99,187489.8,0.6022780905436745,33,0.5287179855826848,0.5287179855826848,3,True,True,0,6,False,False
100,187490.0,0.6266811873833341,34,0.46335100564174964,0.46335100564174964,3,True,True,0,6,False,False
101,187490.2,0.6674403732618122,35,0.3728002013527853,0.3728002013527853,3,True,True,0,6,False,False
102,187490.4,0.7088832202860054,34,0.3017880094734101,0.3017880094734101,3,True,True,0,6,False,False
