run_id,tow,gpu_urban_backend,gpu_urban_particle_backend,gpu_urban_satellite_source,gpu_urban_n_sat,gpu_urban_n_los,gpu_urban_n_nlos,gpu_urban_mean_blocked_ratio,gpu_urban_max_blocked_ratio,gpu_urban_low_elev_blocked_ratio,gpu_urban_mean_elevation_los_deg,gpu_urban_mean_elevation_nlos_deg,gpu_urban_expected_nlos_bias_m,gpu_urban_route_weight_delta_log,gpu_urban_particle_blocked_mean,gpu_urban_particle_blocked_std,gpu_urban_particle_shadow_contrast,gpu_urban_particles_per_epoch,gpu_urban_building_height_scale
tokyo_run1_nav,187470.0,cuda_bvh_batch,cuda_bvh_batch,nav_rinex,10.0,10.0,0.0,0.0,0.0,0.0,38.8497997768018,0.0,0.0,-0.0,0.0,0.0,0.0,24.0,1.0
tokyo_run1_nav,187490.0,cuda_bvh_batch,cuda_bvh_batch,nav_rinex,10.0,10.0,0.0,0.0,0.0,0.0,38.8497997768018,0.0,0.0,-0.0,0.0,0.0,0.0,24.0,1.0
tokyo_run1_nav,187510.2,cuda_bvh_batch,cuda_bvh_batch,nav_rinex,10.0,10.0,0.0,0.0,0.0,0.0,38.8497997768018,0.0,0.0,-0.0,0.0,0.0,0.0,24.0,1.0
tokyo_run1_nav,187530.2,cuda_bvh_batch,cuda_bvh_batch,nav_rinex,10.0,10.0,0.0,0.0,0.0,0.0,38.8497997768018,0.0,0.0,-0.0,0.0,0.0,0.0,24.0,1.0
tokyo_run1_nav,187550.4,cuda_bvh_batch,cuda_bvh_batch,nav_rinex,10.0,10.0,0.0,0.0,0.0,0.0,38.8497997768018,0.0,0.0,-0.0,0.0,0.0,0.0,24.0,1.0
tokyo_run1_nav,187570.4,cuda_bvh_batch,cuda_bvh_batch,nav_rinex,10.0,10.0,0.0,0.0,0.0,0.0,38.8497997768018,0.0,0.0,-0.0,0.0,0.0,0.0,24.0,1.0
tokyo_run1_nav,187590.6,cuda_bvh_batch,cuda_bvh_batch,nav_rinex,10.0,9.0,1.0,0.1,0.1,0.25,40.54652872895538,23.579239207419597,4.631418435919222,-0.4584186814397158,0.07083333333333335,0.04545296714431548,0.6416889479197478,24.0,1.0
tokyo_run1_nav,187610.6,cuda_bvh_batch,cuda_bvh_batch,nav_rinex,10.0,9.0,1.0,0.1,0.1,0.25,40.54652872895538,23.579239207419597,4.631418435919222,-0.4584186814397158,0.06666666666666667,0.047140452079103175,0.7071067811865477,24.0,1.0
tokyo_run1_nav,187630.6,cuda_bvh_batch,cuda_bvh_batch,nav_rinex,10.0,10.0,0.0,0.0,0.0,0.0,38.8497997768018,0.0,0.0,-0.0,0.008333333333333333,0.027638539919628335,3.3166247903554003,24.0,1.0
tokyo_run1_nav,187650.8,cuda_bvh_batch,cuda_bvh_batch,nav_rinex,10.0,10.0,0.0,0.0,0.0,0.0,38.8497997768018,0.0,0.0,-0.0,0.0,0.0,0.0,24.0,1.0
tokyo_run1_nav,187670.8,cuda_bvh_batch,cuda_bvh_batch,nav_rinex,10.0,10.0,0.0,0.0,0.0,0.0,38.8497997768018,0.0,0.0,-0.0,0.0,0.0,0.0,24.0,1.0
