run_id,tow,label,gpu_stress_scenario_id,gpu_failure_label,gpu_stress_target_bad,gpu_rf_jammer_jnr_db,gpu_rf_spoof_delay_samples,gpu_rf_target_snr,gpu_rf_code_phase_error_samples,gpu_rf_code_phase_abs_error_samples,gpu_rf_doppler_error_hz,gpu_rf_false_lock,gpu_rf_acquisition_miss,gpu_rf_interference_detected,gpu_rf_max_false_prn_snr,gpu_urban_building_height_scale,gpu_urban_particles_per_epoch,gpu_urban_n_sat,gpu_urban_n_los,gpu_urban_n_nlos,gpu_urban_mean_blocked_ratio,gpu_urban_max_blocked_ratio,gpu_urban_low_elev_blocked_ratio,gpu_urban_mean_elevation_los_deg,gpu_urban_mean_elevation_nlos_deg,gpu_urban_expected_nlos_bias_m,gpu_urban_route_weight_delta_log,gpu_urban_particle_blocked_mean,gpu_urban_particle_blocked_std,gpu_urban_particle_shadow_contrast,gpu_urban_shadow_risk_score,gpu_urban_source_nav_rinex,gpu_urban_source_satellite_json,gpu_urban_route_backend_cuda,gpu_urban_particle_backend_cuda,gpu_total_risk_score,gpu_failure_nominal,gpu_failure_degraded,gpu_failure_high_risk,gpu_failure_false_lock,gpu_failure_acquisition_miss
tokyo_run1_nav,187470.0,tokyo_run1_nav_tow187470.0,aec09b9cf18f,nominal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,10.0,10.0,0.0,0.0,0.0,0.0,38.8497997768018,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
tokyo_run1_nav,187490.0,tokyo_run1_nav_tow187490.0,25a3db5b9552,nominal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,10.0,10.0,0.0,0.0,0.0,0.0,38.8497997768018,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
tokyo_run1_nav,187510.2,tokyo_run1_nav_tow187510.2,76a70f0d89f4,nominal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,10.0,10.0,0.0,0.0,0.0,0.0,38.8497997768018,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
tokyo_run1_nav,187530.2,tokyo_run1_nav_tow187530.2,6b0aa3184003,nominal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,10.0,10.0,0.0,0.0,0.0,0.0,38.8497997768018,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
tokyo_run1_nav,187550.4,tokyo_run1_nav_tow187550.4,d7a4f4c45d24,nominal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,10.0,10.0,0.0,0.0,0.0,0.0,38.8497997768018,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
tokyo_run1_nav,187570.4,tokyo_run1_nav_tow187570.4,d031a8a10a02,nominal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,10.0,10.0,0.0,0.0,0.0,0.0,38.8497997768018,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
tokyo_run1_nav,187590.6,tokyo_run1_nav_tow187590.6,3c7dff7c4b34,nominal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,10.0,9.0,1.0,0.1,0.1,0.25,40.54652872895538,23.579239207419597,4.631418435919222,-0.4584186814397158,0.07083333333333335,0.04545296714431548,0.6416889479197478,0.15991019423137803,1.0,0.0,1.0,1.0,0.15991019423137803,1.0,0.0,0.0,0.0,0.0
tokyo_run1_nav,187610.6,tokyo_run1_nav_tow187610.6,64209c274c14,nominal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,10.0,9.0,1.0,0.1,0.1,0.25,40.54652872895538,23.579239207419597,4.631418435919222,-0.4584186814397158,0.06666666666666667,0.047140452079103175,0.7071067811865477,0.163835264227386,1.0,0.0,1.0,1.0,0.163835264227386,1.0,0.0,0.0,0.0,0.0
tokyo_run1_nav,187630.6,tokyo_run1_nav_tow187630.6,67ef646acc03,nominal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,10.0,10.0,0.0,0.0,0.0,0.0,38.8497997768018,0.0,0.0,-0.0,0.008333333333333333,0.027638539919628335,3.3166247903554003,0.06,1.0,0.0,1.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0
tokyo_run1_nav,187650.8,tokyo_run1_nav_tow187650.8,7a2e32f40290,nominal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,10.0,10.0,0.0,0.0,0.0,0.0,38.8497997768018,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
