tow,err,is_fix,tow_r,gps_week,tow_diag,status,num_sats,ratio,baseline_m,ar_attempted,input_pair_count,pair_count,max_ambiguity_variance,effective_ratio_threshold,min_subset_pair_count,min_full_ratio_for_subset_ar,subset_candidates_evaluated,subset_candidates_rejected_by_full_ratio,subset_candidates_rejected_by_diversity,bsr_guided_candidates_evaluated,bsr_guided_candidates_accepted,wide_lane_total,wide_lane_fixed,wide_lane_rejected,wide_lane_min_distance,wide_lane_max_distance,gf_slip_count,doppler_slip_l1_count,doppler_slip_l2_count,code_slip_l1_count,code_slip_l2_count,lli_slip_l1_count,lli_slip_l2_count,ambiguity_reset_l1_count,ambiguity_reset_l2_count,adaptive_dynamic_slip_active,consecutive_nonfix_before_bias_update,adaptive_dynamic_slip_hold_remaining,full_lambda_solved,full_ratio,selected_fixed,selected_ratio,selected_pair_count,selected_distinct_sats,selected_distinct_systems,selected_distinct_frequencies,selected_dual_frequency_sats,selected_fixed_ambiguities,selected_used_subset,used_wlnl_fallback,validation_attempted,validation_passed,postfix_residual_rms,fixed_float_jump_m,post_validation_rejected,final_fixed_applied,reject_reason,ar_skip_reason
187470.8,0.05980535092082152,True,187470.8,2324,187470.8,4,20,34.870705,169.445124,1,24,24,0.647608,3.0,4,0.0,6,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,4,0,1,16.974546,1,34.870705,22,12,3,2,10,22,1,0,1,1,0.004536,0.40934,0,1,,none
187471.0,0.06281846827058948,True,187471.0,2324,187471.0,4,20,35.573836,169.448646,1,24,24,0.548071,3.0,4,0.0,6,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,16.492995,1,35.573836,22,12,3,2,10,22,1,0,1,1,0.005336,0.396555,0,1,,none
187471.2,0.057378218878040545,True,187471.2,2324,187471.2,4,20,35.393997,169.444806,1,24,24,0.475048,3.0,4,0.0,6,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,16.786085,1,35.393997,22,12,3,2,10,22,1,0,1,1,0.004488,0.38948,0,1,,none
187471.4,0.05534311136104763,True,187471.4,2324,187471.4,4,20,34.991409,169.442204,1,24,24,0.419189,3.0,4,0.0,6,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,16.661227,1,34.991409,22,12,3,2,10,22,1,0,1,1,0.004654,0.386732,0,1,,none
187471.6,0.056739580370585484,True,187471.6,2324,187471.6,4,20,34.91545,169.442042,1,24,24,0.375078,3.0,4,0.0,6,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,16.86821,1,34.91545,22,12,3,2,10,22,1,0,1,1,0.005643,0.385188,0,1,,none
187471.8,0.056147395195266736,True,187471.8,2324,187471.8,4,20,34.963126,169.443829,1,24,24,0.339361,3.0,4,0.0,6,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,16.709598,1,34.963126,22,12,3,2,10,22,1,0,1,1,0.005163,0.379662,0,1,,none
187472.0,0.058318950484775624,True,187472.0,2324,187472.0,4,20,35.947479,169.447482,1,24,24,0.30985,3.0,4,0.0,6,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,16.926959,1,35.947479,22,12,3,2,10,22,1,0,1,1,0.006293,0.380031,0,1,,none
187472.2,0.0553524164749823,True,187472.2,2324,187472.2,4,20,36.412217,169.444434,1,24,24,0.285057,3.0,4,0.0,6,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,17.380844,1,36.412217,22,12,3,2,10,22,1,0,1,1,0.005717,0.376597,0,1,,none
187472.4,0.05060879328877901,True,187472.4,2324,187472.4,4,20,24.012336,169.442174,1,24,24,0.002394,2.0,4,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,24.012336,1,24.012336,24,12,3,2,12,24,0,0,1,1,0.006505,0.005022,0,1,,none
187472.6,0.05179932421380147,True,187472.6,2324,187472.6,4,20,47.00245,169.442504,1,24,24,0.001051,2.0,4,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,47.00245,1,47.00245,24,12,3,2,12,24,0,0,1,1,0.00719,0.004816,0,1,,none
