epoch,tow,ecef_x,ecef_y,ecef_z,fix,gamma_fixed,consistency_pass,float_consistency_pass,ddpr_consistency_pass,ddpr_support_pass,ddpr_freshness_pass,map_float_separation_m,map_ddpr_separation_m,ddpr_guard_error_m,last_ddpr_pairs,ddpr_age_epochs,last_ddpr_nis,output_error_m,map_error_m,temporal_lineage_enabled,temporal_map_assignment_id,temporal_gamma,temporal_ess,temporal_dwell_epochs,temporal_map_error_m,integrity_lineage_enabled,integrity_anchor_available,integrity_excluded_satellite,integrity_tdcp_available,integrity_tdcp_postfit_rms_m,integrity_map_assignment_id,integrity_gamma,integrity_ess,integrity_dwell_epochs,integrity_map_error_m,integrity_map_ecef_x,integrity_map_ecef_y,integrity_map_ecef_z,integrity_map_float_separation_m,integrity_map_ddpr_separation_m,integrity_guard_pass,integrity_position_ball_gamma,integrity_position_ball_members,integrity_position_ball_spread_m,integrity_position_ball_error_m,basin_oracle_min_error_m,basin_oracle_sub50cm_available,position_cluster_error_m,position_cluster_gamma,position_cluster_spread_m,position_cluster_members,position_cluster_float_separation_m,position_cluster_ddpr_separation_m,float_error_m,float_position_sigma_m,dd_pr_nis,dd_cp_nis,ambiguities_reset,gamma,fix_streak,map_assignment_id,n_basins,basin_ess,map_n_ambiguities,n_candidates_born,respawn_triggered,n_respawn_candidates_born,n_respawn_position_seeds,respawn_oracle_min_error_m,respawn_oracle_rank,n_dd_pr,n_dd_cp
0,553800.0,-3811466.693664207,3566805.2211901695,3652668.9111347175,0,0,0,0,0,1,1,2.2807292533879324,2.318493363976174,3.2894435773932713,18,0,0.08822792079773784,3.0558360247270064,3.445065635204011,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6123835632873622,0,2.578106262798934,0.07961309523809525,0.012998830188891076,2,3.2443424714254654,3.418289941806767,3.0558360247270064,5.592639952376013,0.08822792079773784,0.02210678010972702,0,0.07961309523809523,0,5b857f9f29778b93,383,13.189688852437786,8,12,1,448,7,0.6121085953990473,423,18,17
1,553800.2000000477,-3811466.7043680125,3566805.2303698813,3652668.917540918,0,0,0,0,0,1,1,2.277493459549612,2.314137386224156,3.303230346751093,18,1,0.08822792079773784,3.069661387013538,3.4594128617300606,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6213138265690294,0,2.593543689871581,0.07961309523809525,0.012998830188891076,2,3.2373246520818797,3.4108340314102517,3.069661387013538,5.593979167573447,nan,nan,0,0.07961309523809523,0,5b857f9f29778b93,383,13.189688852437786,8,0,0,0,0,nan,-1,0,0
2,553800.4000000954,-3811466.7189359865,3566805.2446287237,3652668.9324123603,0,0,0,0,0,1,1,2.277132811391438,2.3135748748503664,3.327614176726829,18,2,0.08822792079773784,3.094081993370175,3.475618497892932,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6299100063054294,0,2.608224092589491,0.07961309523809525,0.012998830188891076,2,3.235961303163431,3.409399202090409,3.094081993370175,5.596357313446614,nan,nan,0,0.07961309523809523,0,5b857f9f29778b93,383,13.189688852437786,8,0,0,0,0,nan,-1,0,0
3,553800.5999999046,-3811466.7297525406,3566805.2565932283,3652668.9432305964,0,0,0,0,0,1,1,2.2770349673235297,2.3134372635915694,3.3462107675928867,18,3,0.08822792079773784,3.1127126119283113,3.486688082498344,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6371096143262133,0,2.6201360135369334,0.07961309523809525,0.012998830188891076,2,3.235721420022816,3.4091434908162177,3.1127126119283113,5.598949005651086,nan,nan,0,0.07961309523809523,0,5b857f9f29778b93,383,13.189688852437786,8,0,0,0,0,nan,-1,0,0
4,553800.7999999523,-3811466.744267113,3566805.269113487,3652668.957473204,0,0,0,0,0,1,1,2.2769619419528753,2.3133365372119625,3.3692803897087065,18,4,0.08822792079773784,3.1358149569928515,3.5010317921841367,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6471106615470058,0,2.6331443295168753,0.07961309523809525,0.012998830188891076,2,3.235536593705999,3.4089484890987682,3.1358149569928515,5.601600082987624,nan,nan,0,0.07961309523809523,0,5b857f9f29778b93,383,13.189688852437786,8,0,0,0,0,nan,-1,0,0
5,553801.0,-3811466.9368616007,3566805.2810216984,3652668.5074501694,0,0,0,0,0,1,1,2.31599084956294,2.16695538646882,3.06684737130577,18,0,0.03619621658262093,2.9079889661919456,5.194714811468076,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.725486015724413,0,5.1945955848444845,0.1687198004248279,0.017893911500477803,2,2.3159140514648024,2.166921214756091,2.9079889661919456,4.501492370248857,0.03619621658262093,3.1660466738236344,0,0.16849346092744438,0,88c65eb697abea09,512,10.249465284695786,8,12,1,448,7,0.7611313232783544,15,18,17
6,553801.199999094,-3811466.943173036,3566805.2829087083,3652668.510097194,0,0,0,0,0,1,1,2.328149765760806,2.1837284609343044,3.0684249955277783,18,1,0.03619621658262093,2.9140634395128653,5.213475703031788,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7346897377719248,0,5.2134271015803,0.1748215619545096,0.010514265447235148,2,2.32811577168026,2.1837081354077696,2.9140634395128653,4.502767777265328,nan,nan,0,0.17474278014896727,0,88c65eb697abea09,512,9.532423948491196,8,0,0,0,0,nan,-1,0,0
7,553801.3999989033,-3811466.946169016,3566805.286060807,3652668.511625461,0,0,0,0,0,1,1,2.3316717733198984,2.187948923799422,3.0717992484845156,18,2,0.03619621658262093,2.9183103719055286,5.221328907856685,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7396675480969783,0,5.221282227968075,0.17507342954731947,0.010141607251086312,2,2.3316386536201312,2.187928226965322,2.9183103719055286,4.50551780653807,nan,nan,0,0.17500060548640053,0,88c65eb697abea09,512,9.504489803014074,8,0,0,0,0,nan,-1,0,0
8,553801.5999999046,-3811466.9486808027,3566805.286849198,3652668.513592462,0,0,0,0,0,1,1,2.332666333694343,2.189224693639173,3.0738302970372007,18,3,0.03619621658262093,2.9206910900352514,5.224619599896714,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.740885998815126,0,5.224572631530641,0.17509625099097784,0.010111071156558111,2,2.3326328832647585,2.1892035225098754,2.9206910900352514,4.508670296585049,nan,nan,0,0.17502397269425857,0,88c65eb697abea09,512,9.501978134028146,8,0,0,0,0,nan,-1,0,0
9,553801.7999999523,-3811466.9503314686,3566805.2865787297,3652668.5142038413,0,0,0,0,0,1,1,2.332975602827129,2.1896218762621285,3.0748751962741196,18,4,0.03619621658262093,2.9218277684509317,5.225978353348147,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7407109562855119,0,5.22593117400153,0.1750982773768437,0.01011091214496947,2,2.3329419891170833,2.1896005195350323,2.9218277684509317,4.5119408764961015,nan,nan,0,0.1750260488173139,0,88c65eb697abea09,512,9.501756820681043,8,0,0,0,0,nan,-1,0,0
