epoch,tow,ecef_x,ecef_y,ecef_z,fix,gamma_fixed,consistency_pass,float_consistency_pass,ddpr_consistency_pass,ddpr_support_pass,ddpr_freshness_pass,map_float_separation_m,map_ddpr_separation_m,ddpr_guard_error_m,last_ddpr_pairs,ddpr_age_epochs,last_ddpr_nis,output_error_m,map_error_m,temporal_lineage_enabled,temporal_map_assignment_id,temporal_gamma,temporal_ess,temporal_dwell_epochs,temporal_map_error_m,integrity_lineage_enabled,integrity_anchor_available,integrity_excluded_satellite,integrity_tdcp_available,integrity_tdcp_postfit_rms_m,integrity_map_assignment_id,integrity_gamma,integrity_ess,integrity_dwell_epochs,integrity_map_error_m,integrity_map_ecef_x,integrity_map_ecef_y,integrity_map_ecef_z,integrity_map_float_separation_m,integrity_map_ddpr_separation_m,integrity_guard_pass,integrity_position_ball_gamma,integrity_position_ball_members,integrity_position_ball_spread_m,integrity_position_ball_error_m,basin_oracle_min_error_m,basin_oracle_sub50cm_available,position_cluster_error_m,position_cluster_gamma,position_cluster_spread_m,position_cluster_members,position_cluster_float_separation_m,position_cluster_ddpr_separation_m,float_error_m,float_position_sigma_m,dd_pr_nis,dd_cp_nis,ambiguities_reset,gamma,fix_streak,map_assignment_id,n_basins,basin_ess,map_n_ambiguities,n_candidates_born,respawn_triggered,n_respawn_candidates_born,n_respawn_position_seeds,n_respawn_history_seeds,n_respawn_assignment_candidates,respawn_oracle_min_error_m,respawn_oracle_rank,completion_shadow_candidates,completion_shadow_oracle_min_error_m,position_shadow_candidates,position_shadow_oracle_min_error_m,subset_shadow_candidates,subset_shadow_oracle_min_error_m,respawn_excluded_satellite,n_dd_pr,n_dd_cp
0,553800.0,-3811466.693664207,3566805.2211901695,3652668.9111347175,0,0,0,0,0,1,1,2.2807207018040754,2.318484959297851,3.2894435773932713,18,0,0.08822792079773784,3.0558360247270064,3.445060525263513,0,,0.0,0.0,0,nan,0,0,,0,nan,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6905360326528742,0,3.445060525263513,0.08166666666666667,0.0,1,2.2807207018040754,2.318484959297851,3.0558360247270064,5.592639952376013,0.08822792079773784,0.02210678010972702,0,0.08166666666666667,0,5b857f9f29778b93,20,12.486992715920916,8,12,1,20,1,0,0,0.6901279228386981,10,0,nan,0,nan,0,nan,,18,17
1,553800.2000000477,-3811466.7043680125,3566805.2303698813,3652668.917540918,0,0,0,0,0,1,1,2.2774849029079713,2.3141289727051615,3.303230346751093,18,1,0.08822792079773784,3.069661387013538,3.4594077972737285,0,,0.0,0.0,0,nan,0,0,,1,0.0024588755006093874,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6863050054460301,0,3.4594077972737285,0.08166666666666667,0.0,1,2.2774849029079713,2.3141289727051615,3.069661387013538,5.593979167573447,nan,nan,0,0.08166666666666667,0,5b857f9f29778b93,20,12.486992715920916,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,,0,0
2,553800.4000000954,-3811466.7189359865,3566805.2446287237,3652668.9324123603,0,0,0,0,0,1,1,2.277124253862971,2.313566459746728,3.327614176726829,18,2,0.08822792079773784,3.094081993370175,3.475613477506234,0,,0.0,0.0,0,nan,0,0,,1,0.0033544042116254555,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6823033094683683,0,3.475613477506234,0.08166666666666667,0.0,1,2.277124253862971,2.313566459746728,3.094081993370175,5.596357313446614,nan,nan,0,0.08166666666666667,0,5b857f9f29778b93,20,12.486992715920916,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,,0,0
3,553800.5999999046,-3811466.7297525406,3566805.2565932283,3652668.9432305964,0,0,0,0,0,1,1,2.277026409614385,2.3134288481714678,3.3462107675928867,18,3,0.08822792079773784,3.1127126119283113,3.4866830952034693,0,,0.0,0.0,0,nan,0,0,,1,0.0021990100691208054,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6814486550669806,0,3.4866830952034693,0.08166666666666667,0.0,1,2.277026409614385,2.3134288481714678,3.1127126119283113,5.598949005651086,nan,nan,0,0.08166666666666667,0,5b857f9f29778b93,20,12.486992715920916,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,,0,0
4,553800.7999999523,-3811466.744267113,3566805.269113487,3652668.957473204,0,0,0,0,0,1,1,2.276953384126653,2.3133281215803443,3.3692803897087065,18,4,0.08822792079773784,3.1358149569928515,3.5010268439687735,0,,0.0,0.0,0,nan,0,0,,1,0.0019016526574732956,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.6784966293909459,0,3.5010268439687735,0.08166666666666667,0.0,1,2.276953384126653,2.3133281215803443,3.1358149569928515,5.601600082987624,nan,nan,0,0.08166666666666667,0,5b857f9f29778b93,20,12.486992715920916,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,,0,0
5,553801.0,-3811466.9368616007,3566805.2810216984,3652668.5074501694,0,0,0,0,0,1,1,2.3172542122296265,2.16823542104051,3.06684737130577,18,0,0.03619621658262093,2.9079889661919456,5.195993139437402,0,,0.0,0.0,0,nan,0,0,,1,0.0035176344061263925,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7262818418247959,0,5.195843270791758,0.16821649755366896,0.01986196804226764,2,2.3171566371955867,2.168190207072707,2.9079889661919456,4.501492370248857,0.03619621658262093,3.1660466738236344,0,0.1679387197758912,0,88c65eb697abea09,150,10.312238385203877,8,12,1,360,17,16,20,0.7611313232783544,35,0,nan,0,nan,0,nan,,18,17
6,553801.199999094,-3811466.943173036,3566805.2829087083,3652668.510097194,0,0,0,0,0,1,1,2.3292944341382036,2.1848865006798754,3.0684249955277783,18,1,0.03619621658262093,2.9140634395128653,5.214631817970533,0,,0.0,0.0,0,nan,0,0,,1,0.0024537234569413638,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7354329936003426,0,5.214570937657954,0.1751556303225573,0.01168007539410778,2,2.3292515748326847,2.1848604540165777,2.9140634395128653,4.502767777265328,nan,nan,0,0.17505834819083457,0,88c65eb697abea09,150,9.511083757194571,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,,0,0
7,553801.3999989033,-3811466.946169016,3566805.286060807,3652668.511625461,0,0,0,0,0,1,1,2.332777817033977,2.189067213024595,3.0717992484845156,18,2,0.03619621658262093,2.9183103719055286,5.222445253035062,0,,0.0,0.0,0,nan,0,0,,1,0.0027018253606150813,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7403881403672149,0,5.222386828834485,0.17547353904541124,0.011267008841361966,2,2.332736123670324,2.1890408027461907,2.9183103719055286,4.50551780653807,nan,nan,0,0.17538356772656347,0,88c65eb697abea09,150,9.477660317100629,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,,0,0
8,553801.5999999046,-3811466.9486808027,3566805.286849198,3652668.513592462,0,0,0,0,0,1,1,2.3337607989241405,2.190331082099167,3.0738302970372007,18,3,0.03619621658262093,2.9206910900352514,5.225724076696691,0,,0.0,0.0,0,nan,0,0,,1,0.003465468368058778,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7416000678082715,0,5.2256653079542845,0.17550285034327004,0.011233197344893186,2,2.333718708830146,2.19030409892904,2.9206910900352514,4.508670296585049,nan,nan,0,0.17541354908284507,0,88c65eb697abea09,150,9.474611858104456,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,,0,0
9,553801.7999999523,-3811466.9503314686,3566805.2865787297,3652668.5142038413,0,0,0,0,0,1,1,2.334066441265007,2.190724551577219,3.0748751962741196,18,4,0.03619621658262093,2.9218277684509317,5.227079103672719,0,,0.0,0.0,0,nan,0,0,,1,0.0017703688546617388,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,nan,0.7414244896011659,0,5.227020077272449,0.1755054854839068,0.011233036381811534,2,2.3340241523022836,2.190697341985047,2.9218277684509317,4.5119408764961015,nan,nan,0,0.17541624533316094,0,88c65eb697abea09,150,9.474339793964031,8,0,0,0,0,0,0,nan,-1,0,nan,0,nan,0,nan,,0,0
