epoch_index,gps_week,tow,exact_base,interpolated_base,initial_valid,initial_status,initial_sats,initial_ratio,initial_pdop,initial_baseline_m,initial_residual_rms,initial_residual_abs_max,initial_update_rows,initial_suppressed_outliers,initial_has_glonass_icb_diag,initial_glonass_icb_l1,initial_glonass_icb_l2,initial_glonass_icb_l1_sigma,initial_glonass_icb_l2_sigma,initial_glonass_icb_l1_rows,initial_glonass_icb_l2_rows,initial_has_alt_lambda,initial_alt_lambda_rank,initial_alt_lambda_cost_ratio,initial_alt_lambda_x,initial_alt_lambda_y,initial_alt_lambda_z,initial_alt_lambda_dx,initial_alt_lambda_dy,initial_alt_lambda_dz,initial_alt_lambda_dnorm,initial_alt_lambda_candidates,final_valid,final_status,final_sats,final_ratio,final_pdop,final_baseline_m,final_residual_rms,final_residual_abs_max,final_update_rows,final_suppressed_outliers,final_has_glonass_icb_diag,final_glonass_icb_l1,final_glonass_icb_l2,final_glonass_icb_l1_sigma,final_glonass_icb_l2_sigma,final_glonass_icb_l1_rows,final_glonass_icb_l2_rows,final_has_alt_lambda,final_alt_lambda_rank,final_alt_lambda_cost_ratio,final_alt_lambda_x,final_alt_lambda_y,final_alt_lambda_z,final_alt_lambda_dx,final_alt_lambda_dy,final_alt_lambda_dz,final_alt_lambda_dnorm,final_alt_lambda_candidates,spp_valid,spp_sats,spp_pdop,candidate_vs_spp_m,candidate_jump_m,last_output_dt_s,nonfixed_jump_guard_m,drift_from_fixed_m,height_from_fixed_m,dt_since_fixed_s,fixed_drift_guard_m,fixed_height_guard_m,spp_replacement_used,output_added,rejection_reason
0,2324,187470.000,1,0,1,3,20,0.000000,2.000000,169.324303,0.375394,1.142108,48,0,0,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,,1,3,20,0.000000,2.000000,169.324303,0.375394,1.142108,48,0,0,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,,1,36,0.814696,2.201691,inf,nan,10000.000000,nan,nan,nan,nan,nan,0,1,none
1,2324,187470.200,0,1,1,3,20,0.000000,2.000000,169.316673,0.360528,1.054393,48,0,0,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,,1,3,20,0.000000,2.000000,169.316673,0.360528,1.054393,48,0,0,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,,1,36,0.814695,2.185784,0.026008,0.200000,10000.000000,nan,nan,nan,nan,nan,0,1,none
2,2324,187470.400,0,1,1,3,20,0.000000,2.000000,169.305430,0.334064,1.082803,48,0,0,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,,1,3,20,0.000000,2.000000,169.305430,0.334064,1.082803,48,0,0,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,,1,35,0.841748,2.518914,0.031341,0.200000,10000.000000,nan,nan,nan,nan,nan,0,1,none
3,2324,187470.600,0,1,1,3,20,0.000000,2.000000,169.296945,0.352477,1.097892,48,0,0,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,,1,3,20,0.000000,2.000000,169.296945,0.352477,1.097892,48,0,0,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,,1,36,0.814692,2.441882,0.018042,0.200000,10000.000000,nan,nan,nan,nan,nan,0,1,none
4,2324,187470.800,0,1,1,4,20,37.380444,2.000000,169.445113,0.348519,1.110996,48,0,0,nan,nan,nan,nan,0,0,1,2,37.380444,-3961763.262939,3349004.809057,3698306.078863,4.349089,-3.848163,-3.716924,6.894814,2:37.3804:-3961763.2629:3349004.8091:3698306.0789:4.3491:-3.8482:-3.7169:6.8948|3:37.9160:-3961766.1418:3349006.1633:3698306.1323:1.4702:-2.4940:-3.6635:4.6693|4:40.1077:-3961767.6060:3349008.6307:3698309.7778:0.0061:-0.0266:-0.0180:0.0326,1,4,20,37.380444,2.000000,169.445113,0.348519,1.110996,48,0,0,nan,nan,nan,nan,0,0,1,2,37.380444,-3961763.262939,3349004.809057,3698306.078863,4.349089,-3.848163,-3.716924,6.894814,2:37.3804:-3961763.2629:3349004.8091:3698306.0789:4.3491:-3.8482:-3.7169:6.8948|3:37.9160:-3961766.1418:3349006.1633:3698306.1323:1.4702:-2.4940:-3.6635:4.6693|4:40.1077:-3961767.6060:3349008.6307:3698309.7778:0.0061:-0.0266:-0.0180:0.0326,1,35,0.839983,2.064176,0.407786,0.200000,10000.000000,nan,nan,nan,nan,nan,0,1,none
5,2324,187471.000,1,0,1,4,20,38.306195,2.000000,169.448635,0.347991,1.145184,48,0,0,nan,nan,nan,nan,0,0,1,2,38.306195,-3961763.256611,3349004.807505,3698306.076408,4.349189,-3.848081,-3.716982,6.894862,2:38.3062:-3961763.2566:3349004.8075:3698306.0764:4.3492:-3.8481:-3.7170:6.8949|3:38.8383:-3961766.1354:3349006.1616:3698306.1298:1.4704:-2.4939:-3.6636:4.6695|4:40.8581:-3961767.5377:3349007.6435:3698307.3678:0.0681:-1.0121:-2.4256:2.6292,1,4,20,38.306195,2.000000,169.448635,0.347991,1.145184,48,0,0,nan,nan,nan,nan,0,0,1,2,38.306195,-3961763.256611,3349004.807505,3698306.076408,4.349189,-3.848081,-3.716982,6.894862,2:38.3062:-3961763.2566:3349004.8075:3698306.0764:4.3492:-3.8481:-3.7170:6.8949|3:38.8383:-3961766.1354:3349006.1616:3698306.1298:1.4704:-2.4939:-3.6636:4.6695|4:40.8581:-3961767.5377:3349007.6435:3698307.3678:0.0681:-1.0121:-2.4256:2.6292,1,35,0.839981,1.997882,0.006871,0.200000,10000.000000,nan,nan,nan,nan,nan,0,1,none
6,2324,187471.200,0,1,1,4,20,38.173969,2.000000,169.444794,0.343538,1.144781,48,0,0,nan,nan,nan,nan,0,0,1,2,38.173969,-3961763.263205,3349004.811591,3698306.078489,4.349289,-3.847999,-3.717040,6.894911,2:38.1740:-3961763.2632:3349004.8116:3698306.0785:4.3493:-3.8480:-3.7170:6.8949|3:38.6929:-3961766.1420:3349006.1657:3698306.1318:1.4705:-2.4939:-3.6637:4.6696|4:40.6404:-3961767.5443:3349007.6475:3698307.3698:0.0682:-1.0121:-2.4257:2.6293,1,4,20,38.173969,2.000000,169.444794,0.343538,1.144781,48,0,0,nan,nan,nan,nan,0,0,1,2,38.173969,-3961763.263205,3349004.811591,3698306.078489,4.349289,-3.847999,-3.717040,6.894911,2:38.1740:-3961763.2632:3349004.8116:3698306.0785:4.3493:-3.8480:-3.7170:6.8949|3:38.6929:-3961766.1420:3349006.1657:3698306.1318:1.4705:-2.4939:-3.6637:4.6696|4:40.6404:-3961767.5443:3349007.6475:3698307.3698:0.0682:-1.0121:-2.4257:2.6293,1,35,0.839979,1.950607,0.008089,0.200000,10000.000000,nan,nan,nan,nan,nan,0,1,none
7,2324,187471.400,0,1,1,4,20,37.687261,2.000000,169.442193,0.353673,1.110575,48,0,0,nan,nan,nan,nan,0,0,1,2,37.687261,-3961763.268047,3349004.813116,3698306.080643,4.349389,-3.847918,-3.717098,6.894960,2:37.6873:-3961763.2680:3349004.8131:3698306.0806:4.3494:-3.8479:-3.7171:6.8950|3:38.2963:-3961766.1468:3349006.1671:3698306.1339:1.4706:-2.4939:-3.6638:4.6697|4:40.1250:-3961767.5492:3349007.6489:3698307.3720:0.0683:-1.0121:-2.4258:2.6293,1,4,20,37.687261,2.000000,169.442193,0.353673,1.110575,48,0,0,nan,nan,nan,nan,0,0,1,2,37.687261,-3961763.268047,3349004.813116,3698306.080643,4.349389,-3.847918,-3.717098,6.894960,2:37.6873:-3961763.2680:3349004.8131:3698306.0806:4.3494:-3.8479:-3.7171:6.8950|3:38.2963:-3961766.1468:3349006.1671:3698306.1339:1.4706:-2.4939:-3.6638:4.6697|4:40.1250:-3961767.5492:3349007.6489:3698307.3720:0.0683:-1.0121:-2.4258:2.6293,1,35,0.839978,1.960885,0.005603,0.200000,10000.000000,nan,nan,nan,nan,nan,0,1,none
8,2324,187471.600,0,1,1,4,20,37.503379,2.000000,169.442034,0.355378,1.048413,48,0,0,nan,nan,nan,nan,0,0,1,2,37.503379,-3961763.267670,3349004.811661,3698306.080155,4.349489,-3.847836,-3.717156,6.895008,2:37.5034:-3961763.2677:3349004.8117:3698306.0802:4.3495:-3.8478:-3.7172:6.8950|3:38.2700:-3961766.1464:3349006.1656:3698306.1334:1.4708:-2.4939:-3.6639:4.6698|4:39.7976:-3961767.5488:3349007.6474:3698307.3715:0.0684:-1.0121:-2.4258:2.6294,1,4,20,37.503379,2.000000,169.442034,0.355378,1.048413,48,0,0,nan,nan,nan,nan,0,0,1,2,37.503379,-3961763.267670,3349004.811661,3698306.080155,4.349489,-3.847836,-3.717156,6.895008,2:37.5034:-3961763.2677:3349004.8117:3698306.0802:4.3495:-3.8478:-3.7172:6.8950|3:38.2700:-3961766.1464:3349006.1656:3698306.1334:1.4708:-2.4939:-3.6639:4.6698|4:39.7976:-3961767.5488:3349007.6474:3698307.3715:0.0684:-1.0121:-2.4258:2.6294,1,35,0.839976,1.992370,0.001620,0.200000,10000.000000,nan,nan,nan,nan,nan,0,1,none
9,2324,187471.800,0,1,1,4,20,37.823945,2.000000,169.443821,0.345634,1.018797,48,0,0,nan,nan,nan,nan,0,0,1,2,37.823945,-3961763.265413,3349004.812899,3698306.079987,4.349588,-3.847754,-3.717213,6.895057,2:37.8239:-3961763.2654:3349004.8129:3698306.0800:4.3496:-3.8478:-3.7172:6.8951|3:38.5544:-3961766.1441:3349006.1668:3698306.1332:1.4709:-2.4939:-3.6640:4.6699|4:40.0621:-3961767.5465:3349007.6485:3698307.3713:0.0685:-1.0121:-2.4259:2.6295,1,4,20,37.823945,2.000000,169.443821,0.345634,1.018797,48,0,0,nan,nan,nan,nan,0,0,1,2,37.823945,-3961763.265413,3349004.812899,3698306.079987,4.349588,-3.847754,-3.717213,6.895057,2:37.8239:-3961763.2654:3349004.8129:3698306.0800:4.3496:-3.8478:-3.7172:6.8951|3:38.5544:-3961766.1441:3349006.1668:3698306.1332:1.4709:-2.4939:-3.6640:4.6699|4:40.0621:-3961767.5465:3349007.6485:3698307.3713:0.0685:-1.0121:-2.4259:2.6295,1,35,0.839974,1.930839,0.002449,0.200000,10000.000000,nan,nan,nan,nan,nan,0,1,none
10,2324,187472.000,1,0,1,4,20,39.036029,2.000000,169.447477,0.366209,1.113451,48,0,0,nan,nan,nan,nan,0,0,1,2,39.036029,-3961763.260229,3349004.812121,3698306.079250,4.349688,-3.847672,-3.717271,6.895105,2:39.0360:-3961763.2602:3349004.8121:3698306.0792:4.3497:-3.8477:-3.7173:6.8951|3:39.7777:-3961766.1389:3349006.1659:3698306.1324:1.4710:-2.4939:-3.6641:4.6700|4:41.3559:-3961767.5413:3349007.6476:3698307.3705:0.0686:-1.0121:-2.4260:2.6296,1,4,20,39.036029,2.000000,169.447477,0.366209,1.113451,48,0,0,nan,nan,nan,nan,0,0,1,2,39.036029,-3961763.260229,3349004.812121,3698306.079250,4.349688,-3.847672,-3.717271,6.895105,2:39.0360:-3961763.2602:3349004.8121:3698306.0792:4.3497:-3.8477:-3.7173:6.8951|3:39.7777:-3961766.1389:3349006.1659:3698306.1324:1.4710:-2.4939:-3.6641:4.6700|4:41.3559:-3961767.5413:3349007.6476:3698307.3705:0.0686:-1.0121:-2.4260:2.6296,1,35,0.839972,1.944541,0.005202,0.200000,10000.000000,nan,nan,nan,nan,nan,0,1,none
11,2324,187472.200,0,1,1,4,20,39.790624,2.000000,169.444428,0.339622,0.947767,48,0,0,nan,nan,nan,nan,0,0,1,2,39.790624,-3961763.264893,3349004.814147,3698306.080305,4.349788,-3.847590,-3.717329,6.895153,2:39.7906:-3961763.2649:3349004.8141:3698306.0803:4.3498:-3.8476:-3.7173:6.8952|3:40.4605:-3961766.1435:3349006.1679:3698306.1334:1.4711:-2.4938:-3.6642:4.6701|4:42.2650:-3961767.5460:3349007.6496:3698307.3716:0.0687:-1.0122:-2.4261:2.6296,1,4,20,39.790624,2.000000,169.444428,0.339622,0.947767,48,0,0,nan,nan,nan,nan,0,0,1,2,39.790624,-3961763.264893,3349004.814147,3698306.080305,4.349788,-3.847590,-3.717329,6.895153,2:39.7906:-3961763.2649:3349004.8141:3698306.0803:4.3498:-3.8476:-3.7173:6.8952|3:40.4605:-3961766.1435:3349006.1679:3698306.1334:1.4711:-2.4938:-3.6642:4.6701|4:42.2650:-3961767.5460:3349007.6496:3698307.3716:0.0687:-1.0122:-2.4261:2.6296,1,35,0.839970,1.962180,0.005264,0.200000,10000.000000,nan,nan,nan,nan,nan,0,1,none
12,2324,187472.400,0,1,1,4,20,23.666102,2.000000,169.442167,0.373674,1.155085,48,0,0,nan,nan,nan,nan,0,0,1,2,23.666102,-3961767.597227,3349008.628732,3698309.787431,0.020285,-0.037263,-0.009614,0.043502,2:23.6661:-3961767.5972:3349008.6287:3698309.7874:0.0203:-0.0373:-0.0096:0.0435|3:24.8382:-3961767.6491:3349008.6666:3698309.8327:-0.0316:0.0006:0.0357:0.0477|4:30.9757:-3961767.5859:3349008.6654:3698309.7613:0.0316:-0.0006:-0.0357:0.0477,1,4,20,23.666102,2.000000,169.442167,0.373674,1.155085,48,0,0,nan,nan,nan,nan,0,0,1,2,23.666102,-3961767.597227,3349008.628732,3698309.787431,0.020285,-0.037263,-0.009614,0.043502,2:23.6661:-3961767.5972:3349008.6287:3698309.7874:0.0203:-0.0373:-0.0096:0.0435|3:24.8382:-3961767.6491:3349008.6666:3698309.8327:-0.0316:0.0006:0.0357:0.0477|4:30.9757:-3961767.5859:3349008.6654:3698309.7613:0.0316:-0.0006:-0.0357:0.0477,1,35,0.839969,1.892694,0.005147,0.200000,10000.000000,nan,nan,nan,nan,nan,0,1,none
13,2324,187472.600,0,1,1,4,20,93.949930,2.000000,169.442496,0.352316,1.052404,48,0,0,nan,nan,nan,nan,0,0,1,2,93.949930,-3961767.612178,3349008.664853,3698309.797573,0.005462,-0.000165,-0.000371,0.005477,2:93.9499:-3961767.6122:3349008.6649:3698309.7976:0.0055:-0.0002:-0.0004:0.0055|3:95.7108:-3961767.5974:3349008.6278:3698309.7883:0.0203:-0.0373:-0.0096:0.0435|4:98.1829:-3961767.6492:3349008.6656:3698309.8336:-0.0316:0.0006:0.0357:0.0477,1,4,20,93.949930,2.000000,169.442496,0.352316,1.052404,48,0,0,nan,nan,nan,nan,0,0,1,2,93.949930,-3961767.612178,3349008.664853,3698309.797573,0.005462,-0.000165,-0.000371,0.005477,2:93.9499:-3961767.6122:3349008.6649:3698309.7976:0.0055:-0.0002:-0.0004:0.0055|3:95.7108:-3961767.5974:3349008.6278:3698309.7883:0.0203:-0.0373:-0.0096:0.0435|4:98.1829:-3961767.6492:3349008.6656:3698309.8336:-0.0316:0.0006:0.0357:0.0477,1,35,0.839967,1.842664,0.001333,0.200000,10000.000000,nan,nan,nan,nan,nan,0,1,none
14,2324,187472.800,0,1,1,4,20,124.329394,2.000000,169.443218,0.382823,1.106157,48,0,0,nan,nan,nan,nan,0,0,1,2,124.329394,-3961767.596074,3349008.629835,3698309.787465,0.020285,-0.037262,-0.009614,0.043501,2:124.3294:-3961767.5961:3349008.6298:3698309.7875:0.0203:-0.0373:-0.0096:0.0435|3:125.0032:-3961767.6480:3349008.6677:3698309.8328:-0.0316:0.0006:0.0357:0.0477|4:132.8555:-3961767.5848:3349008.6665:3698309.7614:0.0316:-0.0006:-0.0357:0.0477,1,4,20,124.329394,2.000000,169.443218,0.382823,1.106157,48,0,0,nan,nan,nan,nan,0,0,1,2,124.329394,-3961767.596074,3349008.629835,3698309.787465,0.020285,-0.037262,-0.009614,0.043501,2:124.3294:-3961767.5961:3349008.6298:3698309.7875:0.0203:-0.0373:-0.0096:0.0435|3:125.0032:-3961767.6480:3349008.6677:3698309.8328:-0.0316:0.0006:0.0357:0.0477|4:132.8555:-3961767.5848:3349008.6665:3698309.7614:0.0316:-0.0006:-0.0357:0.0477,1,35,0.839965,1.822414,0.002591,0.200000,10000.000000,nan,nan,nan,nan,nan,0,1,none
15,2324,187473.000,1,0,1,4,20,110.504607,2.000000,169.446247,0.397492,1.179868,48,0,0,nan,nan,nan,nan,0,0,1,2,110.504607,-3961767.591066,3349008.628050,3698309.785953,0.020284,-0.037261,-0.009613,0.043500,2:110.5046:-3961767.5911:3349008.6281:3698309.7860:0.0203:-0.0373:-0.0096:0.0435|3:114.2699:-3961767.6430:3349008.6659:3698309.8313:-0.0316:0.0006:0.0357:0.0477|4:117.9897:-3961767.5797:3349008.6647:3698309.7599:0.0316:-0.0006:-0.0357:0.0477,1,4,20,110.504607,2.000000,169.446247,0.397492,1.179868,48,0,0,nan,nan,nan,nan,0,0,1,2,110.504607,-3961767.591066,3349008.628050,3698309.785953,0.020284,-0.037261,-0.009613,0.043500,2:110.5046:-3961767.5911:3349008.6281:3698309.7860:0.0203:-0.0373:-0.0096:0.0435|3:114.2699:-3961767.6430:3349008.6659:3698309.8313:-0.0316:0.0006:0.0357:0.0477|4:117.9897:-3961767.5797:3349008.6647:3698309.7599:0.0316:-0.0006:-0.0357:0.0477,1,35,0.839963,1.827266,0.005527,0.200000,10000.000000,nan,nan,nan,nan,nan,0,1,none
16,2324,187473.200,0,1,1,4,20,112.921759,2.000000,169.444158,0.400020,1.130952,48,0,0,nan,nan,nan,nan,0,0,1,2,112.921759,-3961767.594457,3349008.626661,3698309.787307,0.020284,-0.037261,-0.009613,0.043500,2:112.9218:-3961767.5945:3349008.6267:3698309.7873:0.0203:-0.0373:-0.0096:0.0435|3:116.8327:-3961767.6463:3349008.6645:3698309.8326:-0.0316:0.0006:0.0357:0.0477|4:120.6958:-3961767.5831:3349008.6633:3698309.7612:0.0316:-0.0006:-0.0357:0.0477,1,4,20,112.921759,2.000000,169.444158,0.400020,1.130952,48,0,0,nan,nan,nan,nan,0,0,1,2,112.921759,-3961767.594457,3349008.626661,3698309.787307,0.020284,-0.037261,-0.009613,0.043500,2:112.9218:-3961767.5945:3349008.6267:3698309.7873:0.0203:-0.0373:-0.0096:0.0435|3:116.8327:-3961767.6463:3349008.6645:3698309.8326:-0.0316:0.0006:0.0357:0.0477|4:120.6958:-3961767.5831:3349008.6633:3698309.7612:0.0316:-0.0006:-0.0357:0.0477,1,35,0.839961,1.837449,0.003907,0.200000,10000.000000,nan,nan,nan,nan,nan,0,1,none
17,2324,187473.400,0,1,1,4,20,114.700205,2.000000,169.441970,0.391161,1.158232,48,0,0,nan,nan,nan,nan,0,0,1,2,114.700205,-3961767.598909,3349008.629961,3698309.789264,0.020284,-0.037260,-0.009612,0.043499,2:114.7002:-3961767.5989:3349008.6300:3698309.7893:0.0203:-0.0373:-0.0096:0.0435|3:116.6191:-3961767.6508:3349008.6678:3698309.8346:-0.0316:0.0006:0.0357:0.0477|4:124.0044:-3961767.5876:3349008.6666:3698309.7632:0.0316:-0.0006:-0.0357:0.0477,1,4,20,114.700205,2.000000,169.441970,0.391161,1.158232,48,0,0,nan,nan,nan,nan,0,0,1,2,114.700205,-3961767.598909,3349008.629961,3698309.789264,0.020284,-0.037260,-0.009612,0.043499,2:114.7002:-3961767.5989:3349008.6300:3698309.7893:0.0203:-0.0373:-0.0096:0.0435|3:116.6191:-3961767.6508:3349008.6678:3698309.8346:-0.0316:0.0006:0.0357:0.0477|4:124.0044:-3961767.5876:3349008.6666:3698309.7632:0.0316:-0.0006:-0.0357:0.0477,1,35,0.839960,1.815926,0.005877,0.200000,10000.000000,nan,nan,nan,nan,nan,0,1,none
18,2324,187473.600,0,1,1,4,20,99.975309,2.000000,169.442112,0.380533,1.055639,48,0,0,nan,nan,nan,nan,0,0,1,2,99.975309,-3961767.598822,3349008.629539,3698309.789452,0.020284,-0.037260,-0.009612,0.043498,2:99.9753:-3961767.5988:3349008.6295:3698309.7895:0.0203:-0.0373:-0.0096:0.0435|3:102.0181:-3961767.6507:3349008.6674:3698309.8348:-0.0316:0.0006:0.0357:0.0477|4:108.3152:-3961767.5875:3349008.6662:3698309.7634:0.0316:-0.0006:-0.0357:0.0477,1,4,20,99.975309,2.000000,169.442112,0.380533,1.055639,48,0,0,nan,nan,nan,nan,0,0,1,2,99.975309,-3961767.598822,3349008.629539,3698309.789452,0.020284,-0.037260,-0.009612,0.043498,2:99.9753:-3961767.5988:3349008.6295:3698309.7895:0.0203:-0.0373:-0.0096:0.0435|3:102.0181:-3961767.6507:3349008.6674:3698309.8348:-0.0316:0.0006:0.0357:0.0477|4:108.3152:-3961767.5875:3349008.6662:3698309.7634:0.0316:-0.0006:-0.0357:0.0477,1,35,0.839958,1.862043,0.000471,0.200000,10000.000000,nan,nan,nan,nan,nan,0,1,none
19,2324,187473.800,0,1,1,4,20,102.251630,2.000000,169.444080,0.379509,0.988948,48,0,0,nan,nan,nan,nan,0,0,1,2,102.251630,-3961767.595131,3349008.627947,3698309.787922,0.020284,-0.037259,-0.009612,0.043498,2:102.2516:-3961767.5951:3349008.6279:3698309.7879:0.0203:-0.0373:-0.0096:0.0435|3:105.8842:-3961767.6470:3349008.6658:3698309.8332:-0.0316:0.0006:0.0357:0.0477|4:110.9071:-3961767.5838:3349008.6646:3698309.7618:0.0316:-0.0006:-0.0357:0.0477,1,4,20,102.251630,2.000000,169.444080,0.379509,0.988948,48,0,0,nan,nan,nan,nan,0,0,1,2,102.251630,-3961767.595131,3349008.627947,3698309.787922,0.020284,-0.037259,-0.009612,0.043498,2:102.2516:-3961767.5951:3349008.6279:3698309.7879:0.0203:-0.0373:-0.0096:0.0435|3:105.8842:-3961767.6470:3349008.6658:3698309.8332:-0.0316:0.0006:0.0357:0.0477|4:110.9071:-3961767.5838:3349008.6646:3698309.7618:0.0316:-0.0006:-0.0357:0.0477,1,35,0.839956,1.844201,0.004301,0.200000,10000.000000,nan,nan,nan,nan,nan,0,1,none
