epoch_index,gps_week,tow,exact_base,interpolated_base,initial_valid,initial_status,initial_sats,initial_ratio,initial_pdop,initial_baseline_m,initial_residual_rms,initial_residual_abs_max,initial_update_rows,initial_suppressed_outliers,initial_has_glonass_icb_diag,initial_glonass_icb_l1,initial_glonass_icb_l2,initial_glonass_icb_l1_sigma,initial_glonass_icb_l2_sigma,initial_glonass_icb_l1_rows,initial_glonass_icb_l2_rows,initial_has_alt_lambda,initial_alt_lambda_rank,initial_alt_lambda_cost_ratio,initial_alt_lambda_x,initial_alt_lambda_y,initial_alt_lambda_z,initial_alt_lambda_dx,initial_alt_lambda_dy,initial_alt_lambda_dz,initial_alt_lambda_dnorm,initial_alt_lambda_candidates,final_valid,final_status,final_sats,final_ratio,final_pdop,final_baseline_m,final_residual_rms,final_residual_abs_max,final_update_rows,final_suppressed_outliers,final_has_glonass_icb_diag,final_glonass_icb_l1,final_glonass_icb_l2,final_glonass_icb_l1_sigma,final_glonass_icb_l2_sigma,final_glonass_icb_l1_rows,final_glonass_icb_l2_rows,final_has_alt_lambda,final_alt_lambda_rank,final_alt_lambda_cost_ratio,final_alt_lambda_x,final_alt_lambda_y,final_alt_lambda_z,final_alt_lambda_dx,final_alt_lambda_dy,final_alt_lambda_dz,final_alt_lambda_dnorm,final_alt_lambda_candidates,spp_valid,spp_sats,spp_pdop,candidate_vs_spp_m,candidate_jump_m,last_output_dt_s,nonfixed_jump_guard_m,drift_from_fixed_m,height_from_fixed_m,dt_since_fixed_s,fixed_drift_guard_m,fixed_height_guard_m,spp_replacement_used,output_added,rejection_reason
0,2324,179460.000,1,0,1,3,23,0.000000,2.000000,172.289452,0.405409,1.284932,64,0,0,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,,1,3,23,0.000000,2.000000,172.289452,0.405409,1.284932,64,0,0,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,,1,40,0.745545,3.209288,inf,nan,10000.000000,nan,nan,nan,nan,nan,0,1,none
1,2324,179460.200,0,1,1,3,23,0.000000,2.000000,172.283432,0.406477,1.370193,64,0,0,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,,1,3,23,0.000000,2.000000,172.283432,0.406477,1.370193,64,0,0,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,,1,40,0.745540,3.307211,0.008704,0.200000,10000.000000,nan,nan,nan,nan,nan,0,1,none
2,2324,179460.400,0,1,1,3,23,0.000000,2.000000,172.273441,0.409899,1.458502,64,0,0,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,,1,3,23,0.000000,2.000000,172.273441,0.409899,1.458502,64,0,0,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,,1,40,0.745536,3.345278,0.012382,0.200000,10000.000000,nan,nan,nan,nan,nan,0,1,none
3,2324,179460.600,0,1,1,3,23,0.000000,2.000000,172.269802,0.416133,1.557934,64,0,0,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,,1,3,23,0.000000,2.000000,172.269802,0.416133,1.557934,64,0,0,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,,1,40,0.745532,3.338534,0.003652,0.200000,10000.000000,nan,nan,nan,nan,nan,0,1,none
4,2324,179460.800,0,1,1,4,21,40.839860,2.000000,172.080884,0.414528,1.508916,60,0,0,nan,nan,nan,nan,0,0,1,2,40.839860,-3961765.586504,3349009.339037,3698311.376086,-0.032188,0.010569,0.011593,0.035807,2:40.8399:-3961765.5865:3349009.3390:3698311.3761:-0.0322:0.0106:0.0116:0.0358|3:41.3862:-3961765.5838:3349009.3382:3698311.3833:-0.0295:0.0098:0.0188:0.0363|4:45.6760:-3961765.5221:3349009.3179:3698311.3529:0.0322:-0.0106:-0.0116:0.0358,1,4,21,40.839860,2.000000,172.080884,0.414528,1.508916,60,0,0,nan,nan,nan,nan,0,0,1,2,40.839860,-3961765.586504,3349009.339037,3698311.376086,-0.032188,0.010569,0.011593,0.035807,2:40.8399:-3961765.5865:3349009.3390:3698311.3761:-0.0322:0.0106:0.0116:0.0358|3:41.3862:-3961765.5838:3349009.3382:3698311.3833:-0.0295:0.0098:0.0188:0.0363|4:45.6760:-3961765.5221:3349009.3179:3698311.3529:0.0322:-0.0106:-0.0116:0.0358,1,38,0.767448,3.385829,0.201240,0.200000,10000.000000,nan,nan,nan,nan,nan,0,1,none
5,2324,179461.000,1,0,1,4,23,42.143764,2.000000,172.086743,0.430410,1.734434,64,0,0,nan,nan,nan,nan,0,0,1,2,42.143764,-3961765.578386,3349009.332551,3698311.375853,-0.032189,0.010569,0.011592,0.035808,2:42.1438:-3961765.5784:3349009.3326:3698311.3759:-0.0322:0.0106:0.0116:0.0358|3:42.4203:-3961765.5757:3349009.3317:3698311.3831:-0.0295:0.0098:0.0188:0.0363|4:46.7645:-3961765.5140:3349009.3114:3698311.3527:0.0322:-0.0106:-0.0116:0.0358,1,4,23,42.143764,2.000000,172.086743,0.430410,1.734434,64,0,0,nan,nan,nan,nan,0,0,1,2,42.143764,-3961765.578386,3349009.332551,3698311.375853,-0.032189,0.010569,0.011592,0.035808,2:42.1438:-3961765.5784:3349009.3326:3698311.3759:-0.0322:0.0106:0.0116:0.0358|3:42.4203:-3961765.5757:3349009.3317:3698311.3831:-0.0295:0.0098:0.0188:0.0363|4:46.7645:-3961765.5140:3349009.3114:3698311.3527:0.0322:-0.0106:-0.0116:0.0358,1,39,0.768647,3.267677,0.010394,0.200000,10000.000000,nan,nan,nan,nan,nan,0,1,none
6,2324,179461.200,0,1,1,4,22,42.517159,2.000000,172.082278,0.414936,1.488750,60,0,0,nan,nan,nan,nan,0,0,1,2,42.517159,-3961765.585761,3349009.337544,3698311.377683,-0.032190,0.010569,0.011592,0.035809,2:42.5172:-3961765.5858:3349009.3375:3698311.3777:-0.0322:0.0106:0.0116:0.0358|3:42.5905:-3961765.5831:3349009.3367:3698311.3849:-0.0295:0.0098:0.0188:0.0363|4:46.7704:-3961765.5214:3349009.3164:3698311.3545:0.0322:-0.0106:-0.0116:0.0358,1,4,22,42.517159,2.000000,172.082278,0.414936,1.488750,60,0,0,nan,nan,nan,nan,0,0,1,2,42.517159,-3961765.585761,3349009.337544,3698311.377683,-0.032190,0.010569,0.011592,0.035809,2:42.5172:-3961765.5858:3349009.3375:3698311.3777:-0.0322:0.0106:0.0116:0.0358|3:42.5905:-3961765.5831:3349009.3367:3698311.3849:-0.0295:0.0098:0.0188:0.0363|4:46.7704:-3961765.5214:3349009.3164:3698311.3545:0.0322:-0.0106:-0.0116:0.0358,1,38,0.786671,3.418505,0.009091,0.200000,10000.000000,nan,nan,nan,nan,nan,0,1,none
7,2324,179461.400,0,1,1,4,23,40.698100,2.000000,172.079045,0.393417,1.482051,64,0,0,nan,nan,nan,nan,0,0,1,2,40.698100,-3961765.589280,3349009.338696,3698311.376845,-0.032191,0.010568,0.011592,0.035809,2:40.6981:-3961765.5893:3349009.3387:3698311.3768:-0.0322:0.0106:0.0116:0.0358|3:40.7673:-3961765.5866:3349009.3379:3698311.3841:-0.0295:0.0098:0.0188:0.0363|4:44.8854:-3961765.5249:3349009.3176:3698311.3537:0.0322:-0.0106:-0.0116:0.0358,1,4,23,40.698100,2.000000,172.079045,0.393417,1.482051,64,0,0,nan,nan,nan,nan,0,0,1,2,40.698100,-3961765.589280,3349009.338696,3698311.376845,-0.032191,0.010568,0.011592,0.035809,2:40.6981:-3961765.5893:3349009.3387:3698311.3768:-0.0322:0.0106:0.0116:0.0358|3:40.7673:-3961765.5866:3349009.3379:3698311.3841:-0.0295:0.0098:0.0188:0.0363|4:44.8854:-3961765.5249:3349009.3176:3698311.3537:0.0322:-0.0106:-0.0116:0.0358,1,39,0.768637,3.229426,0.003796,0.200000,10000.000000,nan,nan,nan,nan,nan,0,1,none
8,2324,179461.600,0,1,1,4,23,39.899987,2.000000,172.079526,0.389877,1.439874,64,0,0,nan,nan,nan,nan,0,0,1,2,39.899987,-3961765.588646,3349009.339148,3698311.376716,-0.032192,0.010568,0.011591,0.035810,2:39.9000:-3961765.5886:3349009.3391:3698311.3767:-0.0322:0.0106:0.0116:0.0358|3:39.9303:-3961765.5860:3349009.3383:3698311.3839:-0.0295:0.0098:0.0188:0.0363|4:44.0285:-3961765.5243:3349009.3180:3698311.3535:0.0322:-0.0106:-0.0116:0.0358,1,4,23,39.899987,2.000000,172.079526,0.389877,1.439874,64,0,0,nan,nan,nan,nan,0,0,1,2,39.899987,-3961765.588646,3349009.339148,3698311.376716,-0.032192,0.010568,0.011591,0.035810,2:39.9000:-3961765.5886:3349009.3391:3698311.3767:-0.0322:0.0106:0.0116:0.0358|3:39.9303:-3961765.5860:3349009.3383:3698311.3839:-0.0295:0.0098:0.0188:0.0363|4:44.0285:-3961765.5243:3349009.3180:3698311.3535:0.0322:-0.0106:-0.0116:0.0358,1,39,0.768633,3.210421,0.000790,0.200000,10000.000000,nan,nan,nan,nan,nan,0,1,none
9,2324,179461.800,0,1,1,4,23,40.170494,2.000000,172.081805,0.382479,1.376008,64,0,0,nan,nan,nan,nan,0,0,1,2,40.170494,-3961765.584993,3349009.339880,3698311.386253,-0.029527,0.009755,0.018817,0.036347,2:40.1705:-3961765.5850:3349009.3399:3698311.3863:-0.0295:0.0098:0.0188:0.0363|3:40.2443:-3961765.5877:3349009.3407:3698311.3790:-0.0322:0.0106:0.0116:0.0358|4:44.2404:-3961765.5233:3349009.3196:3698311.3558:0.0322:-0.0106:-0.0116:0.0358,1,4,23,40.170494,2.000000,172.081805,0.382479,1.376008,64,0,0,nan,nan,nan,nan,0,0,1,2,40.170494,-3961765.584993,3349009.339880,3698311.386253,-0.029527,0.009755,0.018817,0.036347,2:40.1705:-3961765.5850:3349009.3399:3698311.3863:-0.0295:0.0098:0.0188:0.0363|3:40.2443:-3961765.5877:3349009.3407:3698311.3790:-0.0322:0.0106:0.0116:0.0358|4:44.2404:-3961765.5233:3349009.3196:3698311.3558:0.0322:-0.0106:-0.0116:0.0358,1,39,0.768628,3.108427,0.002951,0.200000,10000.000000,nan,nan,nan,nan,nan,0,1,none
