epoch,tow,ecef_x,ecef_y,ecef_z,fix,gamma_fixed,consistency_pass,float_consistency_pass,ddpr_consistency_pass,ddpr_support_pass,ddpr_freshness_pass,map_float_separation_m,map_ddpr_separation_m,ddpr_guard_error_m,last_ddpr_pairs,ddpr_age_epochs,last_ddpr_nis,output_error_m,float_error_m,float_position_sigma_m,dd_pr_nis,dd_cp_nis,gamma,fix_streak,n_basins,basin_ess,map_n_ambiguities,n_candidates_born,n_dd_pr,n_dd_cp
0,179460.0,-3961765.532119318,3349008.953613684,3698311.4728199174,0,0,0,0,0,1,1,1.749920204809583,1.782543291344686,0.439761303987781,26,0,0.021466716868045767,0.40425571316078507,0.40425571316078507,3.894957272948901,0.021466716868045767,0.005849432369134976,0.08333333333333333,0,12,11.999999999999998,8,12,26,26
1,179460.20000004768,-3961765.53350419,3349008.9548755824,3698311.4729014128,0,0,0,0,0,1,1,1.7504436314329457,1.783061705630141,0.4384623787189846,26,1,0.021466716868045767,0.40296157696649954,0.40296157696649954,3.896879963307937,nan,nan,0.08333333333333333,0,12,11.999999999999998,8,0,0,0
2,179460.40000009537,-3961765.5283338986,3349008.9553529164,3698311.4739559805,0,0,0,0,0,1,1,1.7503149568808707,1.7829319965128667,0.4386737785673148,26,2,0.021466716868045767,0.4031986007372351,0.4031986007372351,3.9002930275753083,nan,nan,0.08333333333333333,0,12,11.999999999999998,8,0,0,0
3,179460.59999990463,-3961765.524301337,3349008.955100542,3698311.4732703445,0,0,0,0,0,1,1,1.7502892144614917,1.782906464064723,0.43909935789512095,26,3,0.021466716868045767,0.4036226514558455,0.4036226514558455,3.9040108208183093,nan,nan,0.08333333333333333,0,12,11.999999999999998,8,0,0,0
4,179460.79999995232,-3961765.520225019,3349008.952449239,3698311.4725367115,0,0,0,0,0,1,1,1.7502629646656533,1.7828800131924067,0.44186448131236555,26,4,0.021466716868045767,0.40637868903803,0.40637868903803,3.9078119211282574,nan,nan,0.08333333333333333,0,12,11.999999999999998,8,0,0,0
5,179461.0,-3961765.6002160483,3349009.05403944,3698311.4774331483,0,0,0,0,1,1,1,1.6564567555625276,1.633104213925769,0.2980767493215664,26,0,0.007470062020447298,0.31136398504585905,0.31136398504585905,3.1485997632280505,0.007470062020447298,0.012055876901087066,0.13090788638167722,0,14,11.482820095320204,8,12,26,26
6,179461.199999094,-3961765.5984434555,3349009.0549503397,3698311.478477762,0,0,0,0,1,1,1,1.6570506516047245,1.6329320213878538,0.29644478374975525,26,1,0.007470062020447298,0.31069430078427634,0.31069430078427634,3.150416093700328,nan,nan,0.13147959494567046,0,14,11.448868048658191,8,0,0,0
7,179461.39999890327,-3961765.5964450864,3349009.0556722856,3698311.478188568,0,0,0,0,1,1,1,1.6571211129499288,1.633192599561615,0.29539391862768244,26,2,0.007470062020447298,0.30969950880999936,0.30969950880999936,3.1543433738415128,nan,nan,0.13152977843815974,0,14,11.446960298330062,8,0,0,0
8,179461.59999990463,-3961765.596326292,3349009.06458875,3698311.4825447593,0,0,0,0,1,1,1,1.6572361424466566,1.6331083197256695,0.2891685383450929,26,3,0.007470062020447298,0.30312441994263667,0.30312441994263667,3.158844026308081,nan,nan,0.13153440400447544,0,14,11.446789252535462,8,0,0,0
9,179461.79999995232,-3961765.5908813365,3349009.0642013373,3698311.483149995,0,0,0,0,1,1,1,1.657214113818725,1.6331600731189255,0.28911924885791496,26,4,0.007470062020447298,0.3031647857405908,0.3031647857405908,3.1635102454960307,nan,nan,0.13153508917308712,0,14,11.446763105539397,8,0,0,0
10,179462.0,-3961765.6020520083,3349009.1145163067,3698311.4766093497,0,0,0,0,1,1,1,1.6171617800330857,1.5883448841348953,0.23897546864533853,26,0,0.006736717129790604,0.25637967363003866,0.25637967363003866,2.713304868035219,0.006736717129790604,0.027044334281035833,0.2007464170532718,0,16,9.785766102756522,8,12,26,26
