city,run,epoch,gps_tow,sat_id,los_gt,reflection_present,excess_delay_m
tokyo,run3,0,179460.0,E04,True,False,0.0
tokyo,run3,0,179460.0,E09,True,False,0.0
tokyo,run3,0,179460.0,E10,True,False,0.0
tokyo,run3,0,179460.0,E11,True,False,0.0
tokyo,run3,0,179460.0,E12,True,False,0.0
tokyo,run3,0,179460.0,E19,True,False,0.0
tokyo,run3,0,179460.0,E24,True,False,0.0
tokyo,run3,0,179460.0,E25,True,False,0.0
tokyo,run3,0,179460.0,E36,True,False,0.0
tokyo,run3,0,179460.0,G03,True,False,0.0
tokyo,run3,0,179460.0,G04,True,False,0.0
tokyo,run3,0,179460.0,G06,True,False,0.0
tokyo,run3,0,179460.0,G09,True,False,0.0
tokyo,run3,0,179460.0,G11,True,False,0.0
tokyo,run3,0,179460.0,G17,True,False,0.0
tokyo,run3,0,179460.0,G19,True,False,0.0
tokyo,run3,0,179460.0,G20,True,False,0.0
tokyo,run3,0,179460.0,G22,True,False,0.0
tokyo,run3,0,179460.0,J02,True,False,0.0
tokyo,run3,0,179460.0,J03,True,False,0.0
tokyo,run3,0,179460.0,J04,True,False,0.0
tokyo,run3,0,179460.0,J07,True,False,0.0
tokyo,run3,0,179460.0,R20,True,False,0.0
tokyo,run3,60,179472.0,E04,True,False,0.0
tokyo,run3,60,179472.0,E09,True,False,0.0
tokyo,run3,60,179472.0,E10,True,False,0.0
tokyo,run3,60,179472.0,E11,True,False,0.0
tokyo,run3,60,179472.0,E12,True,False,0.0
tokyo,run3,60,179472.0,E19,True,False,0.0
tokyo,run3,60,179472.0,E24,True,False,0.0
tokyo,run3,60,179472.0,E25,True,False,0.0
tokyo,run3,60,179472.0,E36,True,False,0.0
tokyo,run3,60,179472.0,G03,True,False,0.0
tokyo,run3,60,179472.0,G04,True,False,0.0
tokyo,run3,60,179472.0,G06,True,False,0.0
tokyo,run3,60,179472.0,G09,True,False,0.0
tokyo,run3,60,179472.0,G11,True,False,0.0
tokyo,run3,60,179472.0,G17,True,False,0.0
tokyo,run3,60,179472.0,G19,True,False,0.0
tokyo,run3,60,179472.0,G20,True,False,0.0
tokyo,run3,60,179472.0,G22,True,False,0.0
tokyo,run3,60,179472.0,J02,True,False,0.0
tokyo,run3,60,179472.0,J03,True,False,0.0
tokyo,run3,60,179472.0,J04,True,False,0.0
tokyo,run3,60,179472.0,J07,True,False,0.0
tokyo,run3,60,179472.0,R20,True,False,0.0
tokyo,run3,120,179484.0,E04,True,False,0.0
tokyo,run3,120,179484.0,E09,True,False,0.0
tokyo,run3,120,179484.0,E10,True,False,0.0
tokyo,run3,120,179484.0,E11,True,False,0.0
tokyo,run3,120,179484.0,E12,True,False,0.0
tokyo,run3,120,179484.0,E19,True,False,0.0
tokyo,run3,120,179484.0,E24,True,False,0.0
tokyo,run3,120,179484.0,E25,True,False,0.0
tokyo,run3,120,179484.0,E36,True,False,0.0
tokyo,run3,120,179484.0,G03,True,False,0.0
tokyo,run3,120,179484.0,G04,True,False,0.0
tokyo,run3,120,179484.0,G06,True,False,0.0
tokyo,run3,120,179484.0,G09,True,False,0.0
tokyo,run3,120,179484.0,G11,True,False,0.0
tokyo,run3,120,179484.0,G17,True,False,0.0
tokyo,run3,120,179484.0,G19,True,False,0.0
tokyo,run3,120,179484.0,G20,True,False,0.0
tokyo,run3,120,179484.0,G22,True,False,0.0
tokyo,run3,120,179484.0,J02,True,False,0.0
tokyo,run3,120,179484.0,J03,True,False,0.0
tokyo,run3,120,179484.0,J04,True,False,0.0
tokyo,run3,120,179484.0,J07,True,False,0.0
tokyo,run3,120,179484.0,R20,True,False,0.0
tokyo,run3,180,179496.0,E04,True,False,0.0
tokyo,run3,180,179496.0,E09,True,False,0.0
tokyo,run3,180,179496.0,E10,True,False,0.0
tokyo,run3,180,179496.0,E11,True,False,0.0
tokyo,run3,180,179496.0,E12,True,False,0.0
tokyo,run3,180,179496.0,E19,True,False,0.0
tokyo,run3,180,179496.0,E24,True,False,0.0
tokyo,run3,180,179496.0,E25,True,False,0.0
tokyo,run3,180,179496.0,E36,True,False,0.0
tokyo,run3,180,179496.0,G03,True,False,0.0
tokyo,run3,180,179496.0,G04,True,False,0.0
tokyo,run3,180,179496.0,G06,True,False,0.0
tokyo,run3,180,179496.0,G09,True,False,0.0
tokyo,run3,180,179496.0,G11,True,False,0.0
tokyo,run3,180,179496.0,G17,True,False,0.0
tokyo,run3,180,179496.0,G19,True,False,0.0
tokyo,run3,180,179496.0,G20,True,False,0.0
tokyo,run3,180,179496.0,G22,True,False,0.0
tokyo,run3,180,179496.0,J02,True,False,0.0
tokyo,run3,180,179496.0,J03,True,False,0.0
tokyo,run3,180,179496.0,J04,True,False,0.0
tokyo,run3,180,179496.0,J07,True,False,0.0
