city,run,epoch,gps_tow,sat_count,los_count,nlos_count,nlos_at_high_elev_count,elev_deg_p50,elev_deg_max,eff_db_p10,eff_db_p25,eff_db_p50,eff_db_p75,eff_db_p90,eff_db_max,eff_db_mean,usable_count,marginal_count,gain_db_mean
nagoya,run1,0,550380.0,16,16,0,0,37.81487249440451,72.96100384484868,-10.783667762686584,-7.7251529177347775,-4.237861135232524,-2.8180930635754047,-1.0728391670060815,-0.38513501198271716,-6.471834855310607,5,13,-6.471834855310607
nagoya,run1,5,550381.0,16,16,0,0,37.81564619037169,72.96393741773241,-10.783027855032703,-7.723782195996849,-4.237700795788431,-2.8176689869526026,-1.073195560459184,-0.3849988771700109,-6.471539895633473,5,13,-6.471539895633473
nagoya,run1,10,550382.0,16,16,0,0,37.81641972811842,72.96686660917705,-10.782388310723363,-7.7224121057541435,-4.237540731791677,-2.8172449475415693,-1.0735520533274943,-0.38486297050185253,-6.471245177424297,5,13,-6.471245177424297
nagoya,run1,15,550383.0,16,16,0,0,37.81719310752959,72.96979141662437,-10.781749129589173,-7.721042646807216,-4.237380943234859,-2.8168209453399498,-1.0739086456120894,-0.38472729198483513,-6.4709507006463705,5,13,-6.4709507006463705
nagoya,run1,20,550384.0,16,16,0,0,37.81796632848945,72.9727118375176,-10.781110311460651,-7.719673818956941,-4.23722143011072,-2.816396980345378,-1.0742653373140243,-0.3845918416255756,-6.470656465263052,5,13,-6.470656465263052
nagoya,run1,25,550385.0,18,17,1,0,35.47559089294241,72.9756278693021,-16.77108546444696,-10.020468385094091,-4.73104164883149,-3.0138461174187516,-1.094144476595566,-0.3844566194306764,-8.813250491052976,5,13,-7.424361602164087
nagoya,run1,30,550386.0,17,17,0,0,37.617144104236864,72.97853950942407,-10.950341964058115,-7.950857062305406,-4.276321488452172,-2.894488544768402,-1.0846965049339181,-0.3843216254067913,-6.742686817335778,5,13,-6.742686817335778
nagoya,run1,35,550387.0,16,16,0,0,37.82028503950747,72.98144675533251,-10.779196033418366,-7.715571119997141,-4.236744543261262,-2.815125308580396,-1.0753360089347679,-0.38418685956053106,-6.469775207114996,5,13,-6.469775207114996
nagoya,run1,40,550388.0,16,16,0,0,37.82105762550759,72.9843496044781,-10.778558665622295,-7.714204814545706,-4.2365861317949705,-2.814701492390448,-1.075693098316942,-0.3840523218985175,-6.469481936944599,5,13,-6.469481936944599
nagoya,run1,45,550389.0,17,17,0,0,37.63702287823017,72.98724805431367,-10.949531572439048,-7.956402681447424,-4.272422572487683,-2.892793429954292,-1.085636641723375,-0.3839180124273629,-6.742393068740201,5,13,-6.742393068740201
nagoya,run1,50,550390.0,17,17,0,0,37.64364879794235,72.9901421022927,-10.949263015975346,-7.958252118391993,-4.271123619590958,-2.892228490828981,-1.0859501971719394,-0.3837839311537366,-6.742295725078897,5,13,-6.742295725078897
nagoya,run1,55,550391.0,17,17,0,0,37.65027454807024,72.99303174587187,-10.948995246589094,-7.960102004184826,-4.2698250094667385,-2.8916636012714814,-1.0862638408838299,-0.38365007808425144,-6.742198667683954,5,13,-6.742198667683954
nagoya,run1,60,550392.0,17,17,0,0,37.65690013465546,72.9959169906833,-10.948728263009595,-7.9619523388745606,-4.268526740815524,-2.8910987602451597,-1.0865775731039806,-0.38351645284701286,-6.742101896917303,5,13,-6.742101896917303
nagoya,run1,65,550393.0,16,16,0,0,37.82491816948483,72.99879781047882,-10.77537725727299,-7.707382737816043,-4.2357982049270255,-2.8125829690939046,-1.077480036071846,-0.38338305654656946,-6.4680192043006,5,13,-6.4680192043006
nagoya,run1,70,550394.0,16,16,0,0,37.82568979957091,73.00167422561053,-10.774742059918557,-7.706020210022551,-4.235641445733097,-2.81215937604059,-1.0778377220071567,-0.38324988812953326,-6.4677273808581885,5,13,-6.4677273808581885
nagoya,run1,75,550395.0,16,16,0,0,37.82646126993187,73.00454622618584,-10.774107223716044,-7.704658311148498,-4.235484961893203,-2.811735820168546,-1.0781955073718592,-0.38311694794321677,-6.467435798410362,5,13,-6.467435798410362
nagoya,run1,80,550396.0,16,16,0,0,37.827232580451664,73.0074138096709,-10.773472748497674,-7.703297040997252,-4.235328753400346,-2.8113123014754384,-1.0785533921670543,-0.38298423599424697,-6.467144456921049,5,13,-6.467144456921049
nagoya,run1,85,550397.0,16,16,0,0,37.82800373101355,73.01027697353334,-10.772838634095837,-7.701936399372302,-4.23517282024768,-2.8108888199589432,-1.078911376393886,-0.3828517522892757,-6.466853356354194,5,13,-6.466853356354194
nagoya,run1,90,550398.0,17,17,0,0,37.696650033269755,73.0131357152433,-10.94714290214078,-7.973063786519826,-4.260744329899508,-2.887710761311264,-1.088461817928895,-0.38271949683493045,-6.74152728222792,5,13,-6.74152728222792
nagoya,run1,95,550399.0,17,17,0,0,37.70327441716948,73.01599003227147,-10.946881430277642,-7.974917268140604,-4.259448459659652,-2.887146268184279,-1.0887761678328653,-0.3825874696379057,-6.7414325149251155,5,13,-6.7414325149251155
