city,run,epoch,gps_tow,canyon_blocked_count,canyon_blocked_fraction,edge_near_sat_count,sat_count,edge_near_sat_fraction
tokyo,run2,0,177000.0,0,0.0,0,25,0.0
tokyo,run2,5,177001.0,0,0.0,0,25,0.0
tokyo,run2,10,177002.0,0,0.0,0,24,0.0
tokyo,run2,15,177003.0,0,0.0,0,25,0.0
tokyo,run2,20,177004.0,0,0.0,0,25,0.0
tokyo,run2,25,177005.0,0,0.0,0,25,0.0
tokyo,run2,30,177006.0,0,0.0,0,24,0.0
tokyo,run2,35,177007.0,0,0.0,0,24,0.0
tokyo,run2,40,177008.0,0,0.0,0,25,0.0
tokyo,run2,45,177009.0,0,0.0,0,24,0.0
tokyo,run2,50,177010.0,0,0.0,0,24,0.0
tokyo,run2,55,177011.0,0,0.0,0,24,0.0
tokyo,run2,60,177012.0,0,0.0,0,24,0.0
tokyo,run2,65,177013.0,0,0.0,0,24,0.0
tokyo,run2,70,177014.0,0,0.0,0,24,0.0
tokyo,run2,75,177015.0,0,0.0,0,25,0.0
tokyo,run2,80,177016.0,0,0.0,0,24,0.0
tokyo,run2,85,177017.0,0,0.0,0,24,0.0
tokyo,run2,90,177018.0,0,0.0,0,25,0.0
tokyo,run2,95,177019.0,0,0.0,0,25,0.0
tokyo,run2,100,177020.0,0,0.0,0,25,0.0
tokyo,run2,105,177021.0,0,0.0,0,25,0.0
tokyo,run2,110,177022.0,0,0.0,0,25,0.0
tokyo,run2,115,177023.0,0,0.0,0,25,0.0
tokyo,run2,120,177024.0,0,0.0,0,25,0.0
tokyo,run2,125,177025.0,0,0.0,0,25,0.0
tokyo,run2,130,177026.0,0,0.0,0,25,0.0
tokyo,run2,135,177027.0,0,0.0,0,24,0.0
tokyo,run2,140,177028.0,0,0.0,0,25,0.0
tokyo,run2,145,177029.0,0,0.0,0,24,0.0
tokyo,run2,150,177030.0,0,0.0,0,24,0.0
tokyo,run2,155,177031.0,0,0.0,0,22,0.0
tokyo,run2,160,177032.0,0,0.0,0,21,0.0
tokyo,run2,165,177033.0,0,0.0,0,21,0.0
tokyo,run2,170,177034.0,0,0.0,0,22,0.0
tokyo,run2,175,177035.0,0,0.0,0,22,0.0
tokyo,run2,180,177036.0,0,0.0,0,23,0.0
tokyo,run2,185,177037.0,0,0.0,0,23,0.0
tokyo,run2,190,177038.0,0,0.0,0,25,0.0
tokyo,run2,195,177039.0,0,0.0,0,24,0.0
tokyo,run2,200,177040.0,0,0.0,0,25,0.0
tokyo,run2,205,177041.0,0,0.0,0,24,0.0
tokyo,run2,210,177042.0,0,0.0,0,24,0.0
tokyo,run2,215,177043.0,0,0.0,0,22,0.0
tokyo,run2,220,177044.0,0,0.0,0,24,0.0
tokyo,run2,225,177045.0,0,0.0,0,23,0.0
tokyo,run2,230,177046.0,0,0.0,0,22,0.0
tokyo,run2,235,177047.0,0,0.0,0,22,0.0
tokyo,run2,240,177048.0,0,0.0,0,22,0.0
tokyo,run2,245,177049.0,0,0.0,0,22,0.0
tokyo,run2,250,177050.0,0,0.0,0,23,0.0
tokyo,run2,255,177051.0,0,0.0,0,24,0.0
tokyo,run2,260,177052.0,0,0.0,0,23,0.0
tokyo,run2,265,177053.0,0,0.0,0,23,0.0
tokyo,run2,270,177054.0,0,0.0,0,22,0.0
tokyo,run2,275,177055.0,0,0.0,0,23,0.0
tokyo,run2,280,177056.0,0,0.0,0,21,0.0
tokyo,run2,285,177057.0,0,0.0,0,22,0.0
tokyo,run2,290,177058.0,0,0.0,0,21,0.0
tokyo,run2,295,177059.0,0,0.0,0,21,0.0
tokyo,run2,300,177060.0,0,0.0,0,21,0.0
tokyo,run2,305,177061.0,0,0.0,0,22,0.0
tokyo,run2,310,177062.0,0,0.0,0,23,0.0
tokyo,run2,315,177063.0,0,0.0,1,22,0.045454545454545456
tokyo,run2,320,177064.0,0,0.0,1,21,0.047619047619047616
tokyo,run2,325,177065.0,0,0.0,0,21,0.0
tokyo,run2,330,177066.0,0,0.0,1,24,0.041666666666666664
tokyo,run2,335,177067.0,0,0.0,1,24,0.041666666666666664
tokyo,run2,340,177068.0,0,0.0,1,24,0.041666666666666664
tokyo,run2,345,177069.0,0,0.0,1,23,0.043478260869565216
tokyo,run2,350,177070.0,0,0.0,1,21,0.047619047619047616
tokyo,run2,355,177071.0,0,0.0,1,22,0.045454545454545456
tokyo,run2,360,177072.0,0,0.0,1,21,0.047619047619047616
tokyo,run2,365,177073.0,0,0.0,1,22,0.045454545454545456
tokyo,run2,370,177074.0,0,0.0,1,22,0.045454545454545456
tokyo,run2,375,177075.0,0,0.0,1,21,0.047619047619047616
tokyo,run2,380,177076.0,0,0.0,1,22,0.045454545454545456
tokyo,run2,385,177077.0,0,0.0,1,22,0.045454545454545456
tokyo,run2,390,177078.0,0,0.0,1,20,0.05
tokyo,run2,395,177079.0,0,0.0,1,22,0.045454545454545456
tokyo,run2,400,177080.0,0,0.0,0,19,0.0
tokyo,run2,405,177081.0,0,0.0,0,17,0.0
tokyo,run2,410,177082.0,0,0.0,0,19,0.0
tokyo,run2,415,177083.0,0,0.0,0,19,0.0
tokyo,run2,420,177084.0,0,0.0,0,20,0.0
tokyo,run2,425,177085.0,0,0.0,0,21,0.0
tokyo,run2,430,177086.0,0,0.0,0,21,0.0
tokyo,run2,435,177087.0,0,0.0,0,22,0.0
tokyo,run2,440,177088.0,0,0.0,0,22,0.0
tokyo,run2,445,177089.0,0,0.0,1,24,0.041666666666666664
tokyo,run2,450,177090.0,0,0.0,1,24,0.041666666666666664
tokyo,run2,455,177091.0,0,0.0,1,23,0.043478260869565216
tokyo,run2,460,177092.0,0,0.0,1,23,0.043478260869565216
tokyo,run2,465,177093.0,0,0.0,1,24,0.041666666666666664
tokyo,run2,470,177094.0,0,0.0,2,23,0.08695652173913043
tokyo,run2,475,177095.0,0,0.0,2,22,0.09090909090909091
tokyo,run2,480,177096.0,0,0.0,0,20,0.0
tokyo,run2,485,177097.0,0,0.0,1,22,0.045454545454545456
tokyo,run2,490,177098.0,0,0.0,1,22,0.045454545454545456
tokyo,run2,495,177099.0,0,0.0,1,22,0.045454545454545456
tokyo,run2,500,177100.0,0,0.0,1,22,0.045454545454545456
tokyo,run2,505,177101.0,0,0.0,2,22,0.09090909090909091
tokyo,run2,510,177102.0,0,0.0,1,22,0.045454545454545456
tokyo,run2,515,177103.0,0,0.0,0,21,0.0
tokyo,run2,520,177104.0,0,0.0,2,23,0.08695652173913043
tokyo,run2,525,177105.0,1,0.0625,1,24,0.041666666666666664
tokyo,run2,530,177106.0,1,0.0625,2,24,0.08333333333333333
tokyo,run2,535,177107.0,1,0.0625,0,23,0.0
tokyo,run2,540,177108.0,1,0.0625,0,23,0.0
tokyo,run2,545,177109.0,0,0.0,0,23,0.0
tokyo,run2,550,177110.0,1,0.0625,0,23,0.0
tokyo,run2,555,177111.0,1,0.0625,0,23,0.0
tokyo,run2,560,177112.0,1,0.0625,0,21,0.0
tokyo,run2,565,177113.0,1,0.0625,0,21,0.0
tokyo,run2,570,177114.0,1,0.0625,0,21,0.0
tokyo,run2,575,177115.0,0,0.0,0,21,0.0
tokyo,run2,580,177116.0,1,0.0625,0,21,0.0
tokyo,run2,585,177117.0,1,0.0625,0,20,0.0
tokyo,run2,590,177118.0,1,0.0625,0,20,0.0
tokyo,run2,595,177119.0,1,0.0625,0,20,0.0
tokyo,run2,600,177120.0,1,0.0625,0,21,0.0
tokyo,run2,605,177121.0,1,0.0625,0,20,0.0
tokyo,run2,610,177122.0,1,0.0625,0,20,0.0
tokyo,run2,615,177123.0,1,0.0625,0,18,0.0
tokyo,run2,620,177124.0,1,0.0625,0,19,0.0
tokyo,run2,625,177125.0,1,0.0625,0,21,0.0
tokyo,run2,630,177126.0,1,0.0625,0,20,0.0
tokyo,run2,635,177127.0,1,0.0625,0,21,0.0
tokyo,run2,640,177128.0,1,0.0625,0,21,0.0
tokyo,run2,645,177129.0,1,0.0625,0,21,0.0
tokyo,run2,650,177130.0,1,0.0625,1,22,0.045454545454545456
tokyo,run2,655,177131.0,1,0.0625,1,22,0.045454545454545456
tokyo,run2,660,177132.0,1,0.0625,0,21,0.0
tokyo,run2,665,177133.0,1,0.0625,0,21,0.0
tokyo,run2,670,177134.0,1,0.0625,0,22,0.0
tokyo,run2,675,177135.0,1,0.0625,0,20,0.0
tokyo,run2,680,177136.0,1,0.0625,0,19,0.0
tokyo,run2,685,177137.0,1,0.0625,0,19,0.0
tokyo,run2,690,177138.0,1,0.0625,0,19,0.0
tokyo,run2,695,177139.0,1,0.0625,0,20,0.0
tokyo,run2,700,177140.0,1,0.0625,0,20,0.0
tokyo,run2,705,177141.0,1,0.0625,0,20,0.0
tokyo,run2,710,177142.0,1,0.0625,0,20,0.0
tokyo,run2,715,177143.0,1,0.0625,0,23,0.0
tokyo,run2,720,177144.0,1,0.0625,0,21,0.0
tokyo,run2,725,177145.0,1,0.0625,0,20,0.0
tokyo,run2,730,177146.0,1,0.0625,0,19,0.0
tokyo,run2,735,177147.0,1,0.0625,0,20,0.0
tokyo,run2,740,177148.0,1,0.0625,0,21,0.0
tokyo,run2,745,177149.0,1,0.0625,0,19,0.0
tokyo,run2,750,177150.0,1,0.0625,0,20,0.0
tokyo,run2,755,177151.0,1,0.0625,0,21,0.0
tokyo,run2,760,177152.0,1,0.0625,0,22,0.0
tokyo,run2,765,177153.0,1,0.0625,0,22,0.0
tokyo,run2,770,177154.0,1,0.0625,0,22,0.0
tokyo,run2,775,177155.0,1,0.0625,0,21,0.0
tokyo,run2,780,177156.0,1,0.0625,1,22,0.045454545454545456
tokyo,run2,785,177157.0,1,0.0625,1,23,0.043478260869565216
tokyo,run2,790,177158.0,1,0.0625,1,22,0.045454545454545456
tokyo,run2,795,177159.0,1,0.0625,1,21,0.047619047619047616
tokyo,run2,800,177160.0,1,0.0625,1,22,0.045454545454545456
tokyo,run2,805,177161.0,2,0.125,1,22,0.045454545454545456
tokyo,run2,810,177162.0,1,0.0625,1,24,0.041666666666666664
tokyo,run2,815,177163.0,1,0.0625,1,23,0.043478260869565216
tokyo,run2,820,177164.0,1,0.0625,1,21,0.047619047619047616
