method,bucket,count,mean_residual,mean_abs_residual,p05,p50,p95,positive_frac,negative_frac
truth_ref,all,860,-0.117195,29.990356,-61.215785,-1.838395,49.247529,0.480233,0.519767
truth_ref,los_gt,838,0.786644,29.870777,-61.187367,-0.325784,49.261608,0.492840,0.507160
truth_ref,nlos_gt,22,-34.545252,34.545252,-66.826169,-31.742082,-15.365316,0.000000,1.000000
wls,all,860,-0.186840,16.813682,-35.118992,-2.414202,37.006047,0.441860,0.558140
wls,los_gt,838,0.010425,16.789622,-35.332941,-2.188083,37.009551,0.446301,0.553699
wls,nlos_gt,22,-7.700825,17.730143,-31.092789,-14.208581,28.777991,0.272727,0.727273
pf,all,860,0.515217,31.362548,-53.064172,-6.257753,81.490243,0.408140,0.591860
pf,los_gt,838,0.648993,31.782464,-53.199790,-6.257753,81.688431,0.411695,0.588305
pf,nlos_gt,22,-4.580430,15.367564,-46.005076,-5.971360,26.426264,0.272727,0.727273
pf3d_bvh,all,860,9.494778,48.511477,-99.092845,3.434528,139.082686,0.547674,0.452326
pf3d_bvh,los_gt,838,8.657358,48.659089,-99.157020,2.653492,141.629681,0.538186,0.461814
pf3d_bvh,nlos_gt,22,41.392848,42.888795,-5.994094,48.662179,53.351234,0.909091,0.090909
