city,run,epoch,gps_tow,sat_count,los_count,nlos_count,reflection_count,excess_delay_m_max,excess_delay_m_p90
nagoya,run3,0,553800.0,16,16,0,0,0.0,0.0
nagoya,run3,60,553812.0,17,17,0,0,0.0,0.0
nagoya,run3,120,553824.0,17,17,0,0,0.0,0.0
nagoya,run3,180,553836.0,17,17,0,0,0.0,0.0
nagoya,run3,240,553848.0,17,17,0,0,0.0,0.0
nagoya,run3,300,553860.0,17,17,0,0,0.0,0.0
nagoya,run3,360,553872.0,15,15,0,0,0.0,0.0
nagoya,run3,420,553884.0,16,16,0,0,0.0,0.0
nagoya,run3,480,553896.0,17,17,0,0,0.0,0.0
nagoya,run3,540,553908.0,16,16,0,0,0.0,0.0
nagoya,run3,600,553920.0,16,16,0,0,0.0,0.0
nagoya,run3,660,553932.0,16,16,0,0,0.0,0.0
nagoya,run3,720,553944.0,17,17,0,0,0.0,0.0
nagoya,run3,780,553956.0,16,16,0,0,0.0,0.0
nagoya,run3,840,553968.0,16,16,0,0,0.0,0.0
nagoya,run3,900,553980.0,16,16,0,0,0.0,0.0
nagoya,run3,960,553992.0,12,12,0,12,67.03191909193993,67.03191909193993
nagoya,run3,1020,554004.0,15,15,0,15,50.783375546336174,50.783375546336174
nagoya,run3,1080,554016.0,12,11,1,0,0.0,0.0
nagoya,run3,1140,554028.0,14,13,1,14,69.51645991578698,69.51645991578698
nagoya,run3,1200,554040.0,12,11,1,0,0.0,0.0
nagoya,run3,1260,554052.0,13,13,0,0,0.0,0.0
nagoya,run3,1320,554064.0,13,11,2,13,90.5368685387075,90.5368685387075
nagoya,run3,1380,554076.0,12,12,0,12,63.63606084138155,63.63606084138155
nagoya,run3,1440,554088.0,14,13,1,14,63.60266527161002,63.60266527161002
nagoya,run3,1500,554100.0,15,15,0,15,63.570080041885376,63.570080041885376
nagoya,run3,1560,554112.0,14,13,1,14,63.5355898886919,63.5355898886919
nagoya,run3,1620,554124.0,11,10,1,11,65.06579439714551,65.06579439714551
nagoya,run3,1680,554136.0,9,9,0,0,0.0,0.0
nagoya,run3,1740,554148.0,14,13,1,0,0.0,0.0
nagoya,run3,1800,554160.0,13,12,1,0,0.0,0.0
nagoya,run3,1860,554172.0,12,12,0,0,0.0,0.0
nagoya,run3,1920,554184.0,10,10,0,0,0.0,0.0
nagoya,run3,1980,554196.0,10,10,0,0,0.0,0.0
nagoya,run3,2040,554208.0,11,11,0,0,0.0,0.0
nagoya,run3,2100,554220.0,12,12,0,0,0.0,0.0
nagoya,run3,2160,554232.0,14,13,1,0,0.0,0.0
nagoya,run3,2220,554244.0,10,10,0,0,0.0,0.0
nagoya,run3,2280,554256.0,13,9,4,0,0.0,0.0
nagoya,run3,2340,554268.0,13,13,0,0,0.0,0.0
nagoya,run3,2400,554280.0,15,15,0,0,0.0,0.0
nagoya,run3,2460,554292.0,12,12,0,0,0.0,0.0
nagoya,run3,2520,554304.0,15,15,0,15,76.70487790554762,76.70487790554762
nagoya,run3,2580,554316.0,14,13,1,0,0.0,0.0
nagoya,run3,2640,554328.0,14,14,0,0,0.0,0.0
nagoya,run3,2700,554340.0,14,14,0,0,0.0,0.0
nagoya,run3,2760,554352.0,15,13,2,15,63.25664075836539,63.25664075836539
nagoya,run3,2820,554364.0,12,11,1,0,0.0,0.0
nagoya,run3,2880,554376.0,12,12,0,12,75.52319272235036,75.52319272235036
nagoya,run3,2940,554388.0,12,12,0,12,75.48356442525983,75.48356442525983
nagoya,run3,3000,554400.0,13,13,0,13,75.44206787273288,75.44206787273288
nagoya,run3,3060,554412.0,13,13,0,13,75.43923749774694,75.43923749774694
nagoya,run3,3120,554424.0,12,11,1,0,0.0,0.0
nagoya,run3,3180,554436.0,14,14,0,14,48.11643410474062,48.11643410474062
nagoya,run3,3240,554448.0,13,12,1,13,30.44384751096368,30.44384751096368
nagoya,run3,3300,554460.0,11,11,0,11,12.504883836954832,12.504883836954832
nagoya,run3,3360,554472.0,13,12,1,13,12.497892696410418,12.497892696410418
nagoya,run3,3420,554484.0,14,12,2,14,12.490886021405458,12.490886021405458
nagoya,run3,3480,554496.0,10,10,0,10,12.484792690724134,12.484792690724134
nagoya,run3,3540,554508.0,12,12,0,12,12.4768585562706,12.4768585562706
nagoya,run3,3600,554520.0,14,12,2,14,12.46977273374796,12.46977273374796
nagoya,run3,3660,554532.0,10,10,0,10,12.525113590061665,12.525113590061665
nagoya,run3,3720,554544.0,12,12,0,0,0.0,0.0
nagoya,run3,3780,554556.0,13,12,1,0,0.0,0.0
nagoya,run3,3840,554568.0,12,10,2,0,0.0,0.0
nagoya,run3,3900,554580.0,9,8,1,0,0.0,0.0
nagoya,run3,3960,554592.0,12,12,0,0,0.0,0.0
nagoya,run3,4020,554604.0,11,9,2,0,0.0,0.0
nagoya,run3,4080,554616.0,15,12,3,0,0.0,0.0
nagoya,run3,4140,554628.0,15,13,2,0,0.0,0.0
nagoya,run3,4200,554640.0,12,12,0,12,40.67071793600917,40.67071793600917
nagoya,run3,4260,554652.0,11,11,0,0,0.0,0.0
nagoya,run3,4320,554664.0,13,13,0,0,0.0,0.0
nagoya,run3,4380,554676.0,14,14,0,0,0.0,0.0
nagoya,run3,4440,554688.0,17,17,0,17,34.46433462575078,34.46433462575078
nagoya,run3,4500,554700.0,13,9,4,0,0.0003328956663608551,0.0003328956663608551
nagoya,run3,4560,554712.0,12,11,1,12,61.4434421621263,61.4434421621263
nagoya,run3,4620,554724.0,14,13,1,14,61.40705252811313,61.40705252811313
nagoya,run3,4680,554736.0,16,14,2,16,61.3696659617126,61.3696659617126
nagoya,run3,4740,554748.0,14,14,0,0,0.0,0.0
nagoya,run3,4800,554760.0,15,14,1,15,61.2974118180573,61.2974118180573
nagoya,run3,4860,554772.0,14,13,1,0,0.0,0.0
nagoya,run3,4920,554784.0,15,14,1,0,0.0,0.0
nagoya,run3,4980,554796.0,16,16,0,0,0.0,0.0
nagoya,run3,5040,554808.0,17,17,0,0,0.0,0.0
nagoya,run3,5100,554820.0,15,15,0,0,0.0,0.0
nagoya,run3,5160,554832.0,17,17,0,0,0.0,0.0
