city,run,window_index,epoch_count,reflection_count_mean,reflection_count_max,excess_delay_m_max_mean,excess_delay_m_max_max,excess_delay_m_p90_mean,nlos_count_mean,sat_count_mean
tokyo,run3,0,3,0.0,0,0.0,0.0,0.0,0.0,23.0
tokyo,run3,1,2,0.0,0,0.0,0.0,0.0,0.0,21.5
tokyo,run3,2,3,14.0,22,26.250235445797443,63.07648792862892,26.250235445797443,0.0,21.666666666666668
tokyo,run3,3,2,10.5,21,2.4758612494915724,4.951722498983145,2.4758612494915724,0.0,20.0
tokyo,run3,4,3,0.0,0,0.0,0.0,0.0,0.3333333333333333,21.333333333333332
tokyo,run3,5,2,0.0,0,0.0,0.0,0.0,0.5,17.5
tokyo,run3,6,3,11.0,19,38.220112051814795,79.00983203947544,38.220112051814795,1.3333333333333333,16.666666666666668
tokyo,run3,7,2,0.0,0,0.0,0.0,0.0,1.5,19.0
tokyo,run3,8,3,11.333333333333334,20,1385.710467128704,4154.3430642187595,1385.710467128704,3.6666666666666665,17.333333333333332
tokyo,run3,9,2,14.5,18,40.91517270728946,63.002700846642256,40.91517270728946,0.0,14.5
tokyo,run3,10,3,6.333333333333333,19,4.779413470377524,14.338240411132574,4.779413470377524,0.6666666666666666,19.333333333333332
tokyo,run3,11,2,19.5,20,14.329101018607616,14.332185182720423,14.329101018607616,1.0,19.5
tokyo,run3,12,3,12.333333333333334,19,278.0579120715459,770.9382486753166,278.0579120715459,0.6666666666666666,18.333333333333332
tokyo,run3,13,2,8.5,17,22.76947176642716,45.53894353285432,22.76947176642716,0.0,15.5
tokyo,run3,14,3,17.666666666666668,18,45.602589566260576,45.627440582960844,45.602589566260576,0.6666666666666666,17.666666666666668
tokyo,run3,15,2,17.0,18,45.664404671639204,45.67668433114886,45.664404671639204,0.5,17.0
tokyo,run3,16,3,11.666666666666666,18,30.475515155742567,45.72542707249522,30.475515155742567,0.0,17.0
tokyo,run3,17,2,17.0,17,40.58727866970003,63.595693703740835,40.58727866970003,0.0,17.0
tokyo,run3,18,3,0.0,0,0.0,0.0,0.0,1.3333333333333333,15.333333333333334
tokyo,run3,19,2,0.0,0,0.0,0.0,0.0,1.5,16.0
tokyo,run3,20,3,2.3333333333333335,7,4.919426632424195,14.758279897272587,4.919426632424195,1.0,10.333333333333334
tokyo,run3,21,2,0.0,0,0.0,0.0,0.0,1.0,18.0
tokyo,run3,22,3,0.0,0,0.0,0.0,0.0,1.3333333333333333,18.666666666666668
tokyo,run3,23,2,0.0,0,0.0,0.0,0.0,2.0,19.5
tokyo,run3,24,3,7.0,21,17.844728256265324,53.53418476879597,17.844728256265324,0.0,20.333333333333332
tokyo,run3,25,2,0.0,0,0.0,0.0,0.0,0.0,23.0
tokyo,run3,26,3,0.0,0,0.0,0.0,0.0,0.0,21.666666666666668
tokyo,run3,27,2,0.0,0,0.0,0.0,0.0,0.0,19.5
tokyo,run3,28,3,6.333333333333333,19,6.500033903867006,19.50010171160102,6.500033903867006,0.0,19.333333333333332
tokyo,run3,29,2,21.5,22,9.730385530740023,10.605072803795338,9.730385530740023,0.0,21.5
tokyo,run3,30,3,7.666666666666667,23,22.536841947585344,67.61052584275603,22.536841947585344,0.3333333333333333,23.333333333333332
tokyo,run3,31,2,0.0,0,0.0,0.0,0.0,0.5,20.5
tokyo,run3,32,3,7.666666666666667,23,6.02619748065869,18.07859244197607,6.02619748065869,0.3333333333333333,21.0
tokyo,run3,33,2,0.0,0,0.0,0.0,0.0,0.0,21.0
tokyo,run3,34,3,0.0,0,0.0,0.0,0.0,0.0,20.0
tokyo,run3,35,2,0.0,0,0.0,0.0,0.0,0.0,20.5
tokyo,run3,36,3,13.333333333333334,21,38.8593951103588,66.4825438708067,38.8593951103588,0.3333333333333333,20.333333333333332
tokyo,run3,37,2,11.0,22,9.523831667378545,19.04766333475709,9.523831667378545,1.0,22.5
tokyo,run3,38,3,0.0,0,0.0,0.0,0.0,0.6666666666666666,21.333333333333332
tokyo,run3,39,2,0.0,0,0.0,0.0,0.0,0.0,14.0
tokyo,run3,40,3,0.0,0,0.0,0.0,0.0,0.0,13.666666666666666
tokyo,run3,41,2,0.0,0,0.0,0.0,0.0,0.0,12.5
tokyo,run3,42,3,0.0,0,0.0,0.0,0.0,0.3333333333333333,15.666666666666666
tokyo,run3,43,2,0.0,0,0.0,0.0,0.0,0.0,13.5
tokyo,run3,44,3,0.0,0,0.0,0.0,0.0,1.0,15.0
tokyo,run3,45,2,18.5,20,13.960869574919343,13.96312615647912,13.960869574919343,0.0,18.5
tokyo,run3,46,3,6.333333333333333,19,52.56602741032839,157.69808223098516,52.56602741032839,0.0,17.333333333333332
tokyo,run3,47,2,0.0,0,0.0,0.0,0.0,1.0,24.0
tokyo,run3,48,3,0.0,0,0.0,0.0,0.0,0.3333333333333333,21.0
