city,run,window_index,epoch_count,reflection_count_mean,reflection_count_max,excess_delay_m_max_mean,excess_delay_m_max_max,excess_delay_m_p90_mean,nlos_count_mean,sat_count_mean
nagoya,run1,0,3,16.666666666666668,17,53.63120423133174,53.640489380806684,53.63120423133174,0.3333333333333333,16.666666666666668
nagoya,run1,1,2,15.5,16,53.600485095754266,53.61056736856699,53.600485095754266,0.0,15.5
nagoya,run1,2,3,12.0,19,41.11168827489018,69.57301684841514,41.11168827489018,0.0,18.33333333333333
nagoya,run1,3,2,21.0,21,86.05873464792967,110.80078312009572,86.05873464792967,0.5,21.0
nagoya,run1,4,3,6.666666666666667,20,30.782732869187992,92.34819860756396,30.782732869187992,1.0,20.0
nagoya,run1,5,2,18.0,18,69.12246895767748,69.17436663806438,69.12246895767748,0.0,18.0
nagoya,run1,6,3,5.666666666666667,17,23.01887720450759,69.05663161352277,23.01887720450759,0.0,17.666666666666668
nagoya,run1,7,1,0.0,0,0.0,0.0,0.0,1.0,9.0
nagoya,run1,8,3,6.666666666666667,10,46.54662178084254,72.9314975142479,46.54662178084254,2.333333333333333,10.666666666666666
nagoya,run1,9,2,8.0,16,36.26719079725444,72.53438159450889,36.26719079725444,0.5,15.5
nagoya,run1,10,3,5.333333333333333,16,24.24012096350392,72.72036289051175,24.24012096350392,0.0,15.666666666666666
nagoya,run1,11,2,0.0,0,0.0,0.0,0.0,0.5,15.0
nagoya,run1,12,3,0.0,0,0.0,0.0,0.0,1.3333333333333333,11.666666666666666
nagoya,run1,13,2,0.0,0,0.0,0.0,0.0,1.0,12.0
nagoya,run1,14,3,0.0,0,0.0,0.0,0.0,2.333333333333333,13.333333333333334
nagoya,run1,15,2,0.0,0,0.0,0.0,0.0,4.0,15.0
nagoya,run1,16,3,7.666666666666667,14,7.2325257410605746,11.428903967142103,7.2325257410605746,4.333333333333333,13.0
nagoya,run1,17,2,12.0,13,10.27825792133808,10.347775109112265,10.27825792133808,5.5,12.0
nagoya,run1,18,3,4.0,12,14.16159731025497,42.484791930764914,14.16159731025497,2.333333333333333,10.0
nagoya,run1,19,2,0.0,0,0.0,0.0,0.0,1.0,12.5
nagoya,run1,20,3,0.0,0,0.0,0.0,0.0,3.0,14.333333333333334
nagoya,run1,21,2,0.0,0,0.0,0.0,0.0,3.0,15.0
nagoya,run1,22,3,2.0,6,40.957796070724726,122.87338821217418,40.957796070724726,1.6666666666666667,10.666666666666666
nagoya,run1,23,2,8.5,9,17.867092054337263,18.1279327981174,17.867092054337263,1.0,8.5
nagoya,run1,24,3,7.666666666666667,13,45.96751752123237,69.17692486941814,45.96751752123237,1.6666666666666667,11.666666666666666
nagoya,run1,25,2,5.0,10,25.08126427605748,50.16252855211496,25.08126427605748,0.5,10.5
nagoya,run1,26,3,0.0,0,0.0,0.0,0.0,0.0,13.0
nagoya,run1,27,2,0.0,0,0.0,0.0,0.0,0.0,12.5
nagoya,run1,28,3,0.0,0,0.0,0.0,0.0,0.0,13.0
nagoya,run1,29,2,0.0,0,0.0,0.0,0.0,0.0,13.0
nagoya,run1,30,3,0.0,0,0.0,0.0,0.0,0.0,14.333333333333334
nagoya,run1,31,2,0.0,0,0.0,0.0,0.0,0.0,7.0
nagoya,run1,32,2,0.0,0,0.0,0.0,0.0,0.0,13.0
nagoya,run1,33,3,4.666666666666667,14,45.60982052857677,136.82946158573031,45.60982052857677,0.0,14.0
nagoya,run1,34,2,0.0,0,0.0,0.0,0.0,0.5,14.5
nagoya,run1,35,3,0.0,0,0.0,0.0,0.0,0.0,13.0
nagoya,run1,36,2,0.0,0,0.0,0.0,0.0,0.5,13.5
nagoya,run1,37,3,0.0,0,0.0,0.0,0.0,0.0,13.0
nagoya,run1,38,2,14.5,15,218.4215672723949,388.3090162165463,218.4215672723949,0.5,14.5
nagoya,run1,39,3,0.0,0,0.0,0.0,0.0,0.0,13.666666666666666
nagoya,run1,40,2,14.0,14,68.06359335407615,68.37410343065858,68.06359335407615,1.0,14.0
nagoya,run1,41,3,15.666666666666666,16,67.71589186539252,67.73452500253916,67.71589186539252,0.6666666666666666,15.666666666666666
nagoya,run1,42,2,14.5,15,67.66912142373621,67.67851307243109,67.66912142373621,0.5,14.5
nagoya,run1,43,3,14.666666666666666,15,67.62197474638621,67.64088998734951,67.62197474638621,1.3333333333333333,14.666666666666666
nagoya,run1,44,2,8.0,16,33.79152270592749,67.58304541185498,33.79152270592749,1.0,14.5
nagoya,run1,45,3,15.333333333333334,16,57.903150187184416,67.65533245354891,57.903150187184416,1.0,15.333333333333334
nagoya,run1,46,2,0.0,0,0.0,0.0,0.0,0.0,17.0
nagoya,run1,47,3,17.666666666666668,18,67.88530346751213,76.95040425658226,67.88530346751213,0.0,17.666666666666668
nagoya,run1,48,2,18.0,18,51.97910864651203,51.98862638697028,51.97910864651203,0.0,18.0
nagoya,run1,49,3,18.666666666666668,19,54.5968489634494,59.549586333334446,54.5968489634494,0.0,18.666666666666668
nagoya,run1,50,2,19.5,20,52.24780285917223,52.265196207910776,52.24780285917223,0.0,19.5
nagoya,run2,0,3,0.0,0,0.0,0.0,0.0,0.0,19.33333333333333
nagoya,run2,1,2,0.0,0,0.0,0.0,0.0,0.0,19.0
nagoya,run2,2,3,0.0,0,0.0,0.0,0.0,0.0,18.33333333333333
nagoya,run2,3,2,0.0,0,0.0,0.0,0.0,0.0,18.0
nagoya,run2,4,3,0.0,0,0.0,0.0,0.0,0.0,17.0
nagoya,run2,5,2,0.0,0,0.0,0.0,0.0,0.0,17.5
nagoya,run2,6,3,12.333333333333334,19,22.892029595871765,42.86509769782424,22.892029595871765,0.6666666666666666,17.0
nagoya,run2,7,2,0.0,0,0.0,0.0,0.0,0.5,15.5
nagoya,run2,8,3,5.333333333333333,16,15.448487617075443,46.34546285122633,15.448487617075443,1.0,13.333333333333334
nagoya,run2,9,2,13.5,14,38.05378629639745,46.84811564534903,38.05378629639745,2.5,13.5
nagoya,run2,10,3,14.666666666666666,17,64.97646855562925,74.01227426156402,64.97646855562925,1.6666666666666667,14.666666666666666
nagoya,run2,11,2,14.5,15,60.54761623777449,74.01706151664257,60.54761623777449,1.0,14.5
nagoya,run2,12,3,14.333333333333334,16,26.08712843929728,47.18123814463616,26.08712843929728,0.6666666666666666,14.333333333333334
