epoch,tow,ecef_x,ecef_y,ecef_z,error_m,sub50cm,fix,false_fix,source
0,187470.0,-3961767.620823437,3349008.6643730486,3698309.7911149072,0.049760194543604315,1,0,0,retained_production
1,187470.199999094,-3961767.6197722387,3349008.662663475,3698309.793677037,0.05220882221629059,1,0,0,retained_production
2,187470.39999890327,-3961767.6197722387,3349008.662663475,3698309.793677037,0.05220882221629059,1,0,0,retained_production
3,187470.59999990463,-3961767.6197722387,3349008.662663475,3698309.793677037,0.05220882221629059,1,0,0,retained_production
4,187470.79999995232,-3961767.6109,3349008.6602,3698309.7953,0.05728996414928631,1,0,0,pf_seeded_rtk_consensus
5,187471.0,-3961767.6039,3349008.6573,3698309.7926,0.06190363452533083,1,0,0,pf_seeded_rtk_consensus
6,187471.199999094,-3961767.6111,3349008.6627,3698309.7951,0.05491548028505291,1,0,0,pf_seeded_rtk_consensus
7,187471.39999890327,-3961767.615,3349008.664,3698309.7976,0.05328001499931186,1,0,0,pf_seeded_rtk_consensus
8,187471.59999990463,-3961767.6162,3349008.664,3698309.7975,0.05292154564596474,1,0,0,pf_seeded_rtk_consensus
9,187471.79999995232,-3961767.6131,3349008.6639,3698309.7969,0.05371061323648955,1,0,0,pf_seeded_rtk_consensus
10,187472.0,-3961767.6054,3349008.6606,3698309.7949,0.058899320799194764,1,0,0,pf_seeded_rtk_consensus
11,187472.20000004768,-3961767.6116,3349008.6644,3698309.7969,0.05375806892731629,1,0,0,pf_seeded_rtk_consensus
12,187472.39999890327,-3961767.6174,3349008.666,3698309.7992,0.05141400553403515,1,0,0,pf_seeded_rtk_consensus
13,187472.59999990463,-3961767.6173,3349008.6656,3698309.7994,0.051871090105075165,1,0,0,pf_seeded_rtk_consensus
14,187472.79999899864,-3961767.6152,3349008.6657,3698309.7984,0.0519739359618453,1,0,0,pf_seeded_rtk_consensus
15,187473.0,-3961767.609,3349008.6623,3698309.7963,0.0563629309220583,1,0,0,pf_seeded_rtk_consensus
16,187473.20000004768,-3961767.6141,3349008.6635,3698309.7977,0.05402175497241535,1,0,0,pf_seeded_rtk_consensus
17,187473.39999890327,-3961767.6192,3349008.6674,3698309.8003,0.05017858074771726,1,0,0,pf_seeded_rtk_consensus
18,187473.59999990463,-3961767.6194,3349008.667,3698309.8005,0.05057281869557962,1,0,0,pf_seeded_rtk_consensus
19,187473.79999899864,-3961767.6146,3349008.6641,3698309.7985,0.05360802153852876,1,0,0,pf_seeded_rtk_consensus
20,187474.0,-3961767.6084,3349008.6613,3698309.7961,0.0574130648048428,1,0,0,pf_seeded_rtk_consensus
21,187474.20000004768,-3961767.6139,3349008.6629,3698309.7979,0.054684824177773185,1,0,0,pf_seeded_rtk_consensus
22,187474.39999890327,-3961767.6178,3349008.6671,3698309.7995,0.05044898390150033,1,0,0,pf_seeded_rtk_consensus
23,187474.59999990463,-3961767.6175,3349008.6657,3698309.7985,0.051402237364195566,1,0,0,pf_seeded_rtk_consensus
24,187474.79999899864,-3961767.615,3349008.6645,3698309.7983,0.05306731556874498,1,0,0,pf_seeded_rtk_consensus
25,187475.0,-3961767.6079,3349008.6593,3698309.7947,0.05900669436680648,1,0,0,pf_seeded_rtk_consensus
26,187475.20000004768,-3961767.6154,3349008.6633,3698309.7984,0.054068567408922935,1,0,0,pf_seeded_rtk_consensus
