epoch,target,source,observation_id,stage,beta,n_rows,log_evidence
0,float_kf,doppler_velocity,tow=177000.000,0,1.0,3,
0,ddpr_guard,doppler_velocity,tow=177000.000,0,1.0,3,
0,float_kf,dd_pseudorange,tow=177000.000,0,1.0,30,
0,ddpr_guard,dd_pseudorange,tow=177000.000,0,1.0,30,
0,float_kf,dd_carrier,tow=177000.000,0,1.0,29,
1,float_kf,doppler_velocity,tow=177000.200,0,1.0,3,
1,ddpr_guard,doppler_velocity,tow=177000.200,0,1.0,3,
1,basin_pf,doppler_velocity,tow=177000.200,0,1.0,3,-3.471298676200879
2,float_kf,doppler_velocity,tow=177000.400,0,1.0,3,
2,ddpr_guard,doppler_velocity,tow=177000.400,0,1.0,3,
2,basin_pf,doppler_velocity,tow=177000.400,0,1.0,3,-2.4616391515056235
3,float_kf,doppler_velocity,tow=177000.600,0,1.0,3,
3,ddpr_guard,doppler_velocity,tow=177000.600,0,1.0,3,
3,basin_pf,doppler_velocity,tow=177000.600,0,1.0,3,-2.392424584037713
4,float_kf,doppler_velocity,tow=177000.800,0,1.0,3,
4,ddpr_guard,doppler_velocity,tow=177000.800,0,1.0,3,
4,basin_pf,doppler_velocity,tow=177000.800,0,1.0,3,-2.3849212871444254
5,float_kf,doppler_velocity,tow=177001.000,0,1.0,3,
5,ddpr_guard,doppler_velocity,tow=177001.000,0,1.0,3,
5,basin_pf,doppler_velocity,tow=177001.000,0,1.0,3,-2.3849023631561557
5,float_kf,dd_pseudorange,tow=177001.000,0,1.0,30,
5,ddpr_guard,dd_pseudorange,tow=177001.000,0,1.0,30,
5,float_kf,dd_carrier,tow=177001.000,0,1.0,29,
5,basin_pf,dd_pseudorange,tow=177001.000,0,1.0,30,-86.14692264095909
5,basin_pf,dd_carrier,tow=177001.000,0,1.0,29,13.84419385477604
6,float_kf,doppler_velocity,tow=177001.200,0,1.0,3,
6,ddpr_guard,doppler_velocity,tow=177001.200,0,1.0,3,
