epoch,tow,ecef_x,ecef_y,ecef_z,fix,gamma_fixed,consistency_pass,float_consistency_pass,ddpr_consistency_pass,ddpr_support_pass,ddpr_freshness_pass,map_float_separation_m,map_ddpr_separation_m,ddpr_guard_error_m,last_ddpr_pairs,ddpr_age_epochs,last_ddpr_nis,output_error_m,map_error_m,temporal_lineage_enabled,temporal_map_assignment_id,temporal_gamma,temporal_ess,temporal_dwell_epochs,temporal_map_error_m,integrity_lineage_enabled,integrity_anchor_available,integrity_tdcp_available,integrity_tdcp_postfit_rms_m,integrity_map_assignment_id,integrity_gamma,integrity_ess,integrity_dwell_epochs,integrity_map_error_m,integrity_map_ecef_x,integrity_map_ecef_y,integrity_map_ecef_z,integrity_map_float_separation_m,integrity_map_ddpr_separation_m,integrity_guard_pass,integrity_position_ball_gamma,integrity_position_ball_members,integrity_position_ball_spread_m,integrity_position_ball_error_m,basin_oracle_min_error_m,basin_oracle_sub50cm_available,position_cluster_error_m,position_cluster_gamma,position_cluster_spread_m,position_cluster_members,position_cluster_float_separation_m,position_cluster_ddpr_separation_m,float_error_m,float_position_sigma_m,dd_pr_nis,dd_cp_nis,ambiguities_reset,gamma,fix_streak,map_assignment_id,n_basins,basin_ess,map_n_ambiguities,n_candidates_born,respawn_triggered,n_respawn_candidates_born,respawn_oracle_min_error_m,respawn_oracle_rank,n_dd_pr,n_dd_cp
0,187470.0,-3961767.4635459287,3349008.4409474875,3698310.0679831044,0,0,1,1,1,1,1,0.377022508361468,0.5619826281689688,0.6310938048877743,24,0,0.050935192486726184,0.4290812170036948,0.09962760091980931,0,,0.0,0.0,0,nan,1,1,0,nan,8b4bcb30d02e5cc0,0.030989672685858255,52.60546267928411,1,1.0864272917290847,-3961766.981561665,3349007.8759965906,3698309.533118883,0.9151819936822441,0.8096784518819402,0,0.06036146913481736,2,0.23718019691452988,1.1035977835412802,0.09962760091980931,1,0.09962760091980931,0.07994791666666666,0.0,1,0.377022508361468,0.5619826281689688,0.4290812170036948,4.071264436073741,0.050935192486726184,0.006195278625390109,0,0.07994791666666666,0,e5253dc028b8bfe6,64,13.032411335482777,8,12,1,64,0.09973617366015403,1,24,23
1,187470.199999094,-3961767.470887223,3349008.45808066,3698310.0804724586,0,0,1,1,1,1,1,0.37543273997639004,0.5609824683323467,0.6224548260616856,24,1,0.050935192486726184,0.4243531612235333,0.07860066532879743,0,,0.0,0.0,0,nan,1,0,1,0.002520699357522124,8b4bcb30d02e5cc0,0.02997023268030429,53.835162369352524,2,1.0645734310791937,-3961766.989582164,3349007.8937866967,3698309.548248891,0.9128768606254455,0.8071173158374448,0,0.05842993457737784,2,0.2371861403051306,1.0839522827596892,0.07860066532879743,1,0.07860066532879743,0.07994791666666666,0.0,1,0.37543273997639004,0.5609824683323467,0.4243531612235333,4.073103884741926,nan,nan,0,0.07994791666666666,0,e5253dc028b8bfe6,64,13.032411335482777,8,0,0,0,nan,-1,0,0
2,187470.39999890327,-3961767.4801497874,3349008.4769933294,3698310.0949089867,0,0,1,1,1,1,1,0.3753499690078987,0.5610246138394424,0.613746724503564,24,2,0.050935192486726184,0.4205364328912919,0.058469511027520016,0,,0.0,0.0,0,nan,1,0,1,0.001787161635762434,8b4bcb30d02e5cc0,0.028983778274860823,54.9951390249197,3,1.0408897191535016,-3961766.9991497262,3349007.912983165,3698309.5630865665,0.912306752579044,0.8065402905186981,0,0.05656089788755603,2,0.2371920523308514,1.0624979903420169,0.058469511027520016,1,0.058469511027520016,0.07994791666666666,0.0,1,0.3753499690078987,0.5610246138394424,0.4205364328912919,4.076369389156629,nan,nan,0,0.07994791666666666,0,e5253dc028b8bfe6,64,13.032411335482777,8,0,0,0,nan,-1,0,0
3,187470.59999990463,-3961767.4853023146,3349008.495288847,3698310.1086747227,0,0,1,1,1,1,1,0.3752097255549786,0.5609122313546671,0.607290327585296,24,3,0.050935192486726184,0.41943797797094934,0.04666192659544743,0,,0.0,0.0,0,nan,1,0,1,0.0019504303698462068,8b4bcb30d02e5cc0,0.027745525409069414,56.39803153944312,4,1.020982707425208,-3961767.004157517,3349007.931290692,3698309.576973271,0.9123051400182225,0.8065255563000454,0,0.05421477826492559,2,0.23719968579989578,1.044537626866957,0.04666192659544743,1,0.04666192659544743,0.07994791666666666,0.0,1,0.3752097255549786,0.5609122313546671,0.41943797797094934,4.079926768242801,nan,nan,0,0.07994791666666666,0,e5253dc028b8bfe6,64,13.032411335482777,8,0,0,0,nan,-1,0,0
4,187470.79999995232,-3961767.490104394,3349008.5028493344,3698310.1150702513,0,0,1,1,1,1,1,0.3751915928594029,0.5608521836535816,0.6044902758979533,24,4,0.050935192486726184,0.4190308518748924,0.04416059261511214,0,,0.0,0.0,0,nan,1,0,1,0.002117598381252768,8b4bcb30d02e5cc0,0.027136756278383724,57.06178504385867,5,1.0111085955207855,-3961767.008970691,3349007.9387105587,3698309.58331083,0.9124200133289208,0.8066221746325618,0,0.05306134245014915,2,0.2372035187620921,1.0357900414202803,0.04416059261511214,1,0.04416059261511214,0.07994791666666666,0.0,1,0.3751915928594029,0.5608521836535816,0.4190308518748924,4.083564128451625,nan,nan,0,0.07994791666666666,0,e5253dc028b8bfe6,64,13.032411335482777,8,0,0,0,nan,-1,0,0
5,187471.0,-3961767.5326810284,3349008.5597068775,3698310.140262514,0,0,1,1,1,1,1,0.38025285831682004,0.46264003497839795,0.48356956133294576,24,0,0.008276408667707002,0.40305490494691265,0.07583301014748055,0,,0.0,0.0,0,nan,1,1,1,0.0013977164704343556,e5253dc028b8bfe6,0.033254048092866396,51.30511029531424,1,0.07583301014748055,-3961767.6022582026,3349008.6415670044,3698309.775502082,0.38025285831682004,0.46264003497839795,1,0.033254048092866396,1,0.0,0.07583301014748055,0.07583301014748055,1,0.07583301014748055,0.13991936957658618,0.0,1,0.38025285831682004,0.46264003497839795,0.40305490494691265,3.2717631087616863,0.008276408667707002,0.010642828028193744,0,0.13991936957658618,0,e5253dc028b8bfe6,65,11.63838239796947,8,12,0,0,nan,-1,24,23
6,187471.199999094,-3961767.5332525945,3349008.5605277685,3698310.137134775,0,0,1,1,1,1,1,0.3792294052032175,0.46423828804955786,0.4819446739516705,24,1,0.008276408667707002,0.39981138680676004,0.07197023364406507,0,,0.0,0.0,0,nan,1,0,1,0.0027229814770621565,e5253dc028b8bfe6,0.032351937448694724,52.387988315618664,2,0.07197023364406507,-3961767.6045887247,3349008.6449019536,3698309.774357853,0.3792294052032175,0.46423828804955786,1,0.032351937448694724,1,0.0,0.07197023364406507,0.07197023364406507,1,0.07197023364406507,0.14074997330850594,0.0,1,0.3792294052032175,0.46423828804955786,0.39981138680676004,3.273520747992254,nan,nan,0,0.14074997330850594,0,e5253dc028b8bfe6,65,11.60592780326656,8,0,0,0,nan,-1,0,0
7,187471.39999890327,-3961767.532428351,3349008.5585179687,3698310.132432032,0,0,1,1,1,1,1,0.379145084506835,0.46448643779382637,0.47864992262714945,24,2,0.008276408667707002,0.39659210499771214,0.0741963885006909,0,,0.0,0.0,0,nan,1,0,1,0.0033628057598974626,e5253dc028b8bfe6,0.03150135178846277,53.4006373678187,3,0.0741963885006909,-3961767.603969372,3349008.6432621535,3698309.7698698984,0.379145084506835,0.46448643779382637,1,0.03150135178846277,1,0.0,0.0741963885006909,0.0741963885006909,1,0.0741963885006909,0.14083116921056407,0.0,1,0.379145084506835,0.46448643779382637,0.39659210499771214,3.2773028759303346,nan,nan,0,0.14083116921056407,0,e5253dc028b8bfe6,65,11.603236489042603,8,0,0,0,nan,-1,0,0
8,187471.59999990463,-3961767.5299629667,3349008.5542327864,3698310.1307222387,0,0,1,1,1,1,1,0.3790801510005873,0.464653106114098,0.47920606045693137,24,3,0.008276408667707002,0.3973713508685334,0.07908588428367644,0,,0.0,0.0,0,nan,1,0,1,0.0017053544890917173,e5253dc028b8bfe6,0.030692319208939858,54.34960964079795,4,0.07908588428367644,-3961767.601603365,3349008.6391240903,3698309.7682820633,0.3790801510005873,0.464653106114098,1,0.030692319208939858,1,0.0,0.07908588428367644,0.07908588428367644,1,0.07908588428367644,0.14083950898626352,0.0,1,0.3790801510005873,0.464653106114098,0.3973713508685334,3.281635567127759,nan,nan,0,0.14083950898626355,0,e5253dc028b8bfe6,65,11.602976547259512,8,0,0,0,nan,-1,0,0
9,187471.79999995232,-3961767.5320806447,3349008.557083246,3698310.1290602563,0,0,1,1,1,1,1,0.3790599585615614,0.46466380067331975,0.4763058993263712,24,4,0.008276408667707002,0.39424670378784554,0.07590169335910121,0,,0.0,0.0,0,nan,1,0,1,0.0021357163758231957,e5253dc028b8bfe6,0.029924631798119796,55.234544560748205,5,0.07590169335910121,-3961767.6037646113,3349008.6420362256,3698309.766664268,0.3790599585615614,0.46466380067331975,1,0.029924631798119796,1,0.0,0.07590169335910121,0.07590169335910121,1,0.07590169335910121,0.14084037569086594,0.0,1,0.3790599585615614,0.46466380067331975,0.39424670378784554,3.286127634914671,nan,nan,0,0.140840375690866,0,e5253dc028b8bfe6,65,11.602958113678069,8,0,0,0,nan,-1,0,0
