epoch,tow,ecef_x,ecef_y,ecef_z,fix,gamma_fixed,consistency_pass,float_consistency_pass,ddpr_consistency_pass,ddpr_support_pass,ddpr_freshness_pass,map_float_separation_m,map_ddpr_separation_m,ddpr_guard_error_m,last_ddpr_pairs,ddpr_age_epochs,last_ddpr_nis,output_error_m,map_error_m,temporal_lineage_enabled,temporal_map_assignment_id,temporal_gamma,temporal_ess,temporal_dwell_epochs,temporal_map_error_m,integrity_lineage_enabled,integrity_anchor_available,integrity_tdcp_available,integrity_tdcp_postfit_rms_m,integrity_map_assignment_id,integrity_gamma,integrity_ess,integrity_dwell_epochs,integrity_map_error_m,integrity_map_ecef_x,integrity_map_ecef_y,integrity_map_ecef_z,integrity_map_float_separation_m,integrity_map_ddpr_separation_m,integrity_guard_pass,integrity_position_ball_gamma,integrity_position_ball_members,integrity_position_ball_spread_m,integrity_position_ball_error_m,basin_oracle_min_error_m,basin_oracle_sub50cm_available,position_cluster_error_m,position_cluster_gamma,position_cluster_spread_m,position_cluster_members,position_cluster_float_separation_m,position_cluster_ddpr_separation_m,float_error_m,float_position_sigma_m,dd_pr_nis,dd_cp_nis,ambiguities_reset,gamma,fix_streak,map_assignment_id,n_basins,basin_ess,map_n_ambiguities,n_candidates_born,respawn_triggered,n_respawn_candidates_born,respawn_oracle_min_error_m,respawn_oracle_rank,n_dd_pr,n_dd_cp
0,177000.0,-3961765.3108884394,3349009.416671417,3698311.585201168,0,0,1,1,1,1,1,0.2061006668841879,0.2359402517813181,0.3177292252570848,30,0,0.013099417336066985,0.28610230190234714,0.19226066015020857,0,,0.0,0.0,0,nan,1,1,0,nan,8e41d6ac58477488,0.0307411275401405,52.92319110877379,1,0.5718439464313123,-3961765.0209870627,3349009.441101367,3698311.6761417664,0.30481112693664886,0.26714412632450835,1,0.06115625258953599,2,0.21671013123026864,0.36850319342855575,0.19226066015020857,1,0.1948605178485552,0.08072916666666666,0.04243102299472153,2,0.20289196182243946,0.232420585885203,0.28610230190234714,3.6285841164024566,0.013099417336066985,0.0037780928343312203,0,0.07994791666666666,0,e8fbf40b994e527a,64,13.032411335482777,8,12,1,64,0.19225113898177038,1,30,29
1,177000.20000004768,-3961765.313279197,3349009.415127322,3698311.5847510514,0,0,1,1,1,1,1,0.205797265490419,0.23588379318167654,0.31487072619980544,30,1,0.013099417336066985,0.28332494266862157,0.1902229566759662,0,,0.0,0.0,0,nan,1,0,1,0.002377964391713743,8e41d6ac58477488,0.02998309697458521,53.83423914919617,2,0.5688197235784663,-3961765.0240413533,3349009.4401897998,3698311.6759787076,0.3043175041797332,0.26676513332404234,1,0.0596565395510024,2,0.21671029087245747,0.36558554738442955,0.1902229566759662,1,0.1927832779548875,0.08072916666666666,0.04243102299472157,2,0.2025795580818343,0.23235961311211387,0.28332494266862157,3.630647873333563,nan,nan,0,0.07994791666666666,0,e8fbf40b994e527a,64,13.032411335482777,8,0,0,0,nan,-1,0,0
2,177000.40000009537,-3961765.3143942268,3349009.412626965,3698311.5836937125,0,0,1,1,1,1,1,0.20583098043607914,0.23586539865898765,0.31249676329100873,30,2,0.013099417336066985,0.2807473638439896,0.18934153340381274,0,,0.0,0.0,0,nan,1,0,1,0.001848690578167929,8e41d6ac58477488,0.029262499844228344,54.68422256290566,3,0.5667643454712236,-3961765.0250064046,3349009.4375833934,3698311.6748486254,0.3044295535678607,0.26685068946431967,1,0.058230886073382504,2,0.21671044601591788,0.363721434968254,0.18934153340381274,1,0.19186319415098718,0.08072916666666666,0.04243102299472157,2,0.20261510554020584,0.23234207071408036,0.2807473638439896,3.6343109708255867,nan,nan,0,0.07994791666666666,0,e8fbf40b994e527a,64,13.032411335482777,8,0,0,0,nan,-1,0,0
3,177000.59999990463,-3961765.319530165,3349009.4108321522,3698311.584491989,0,0,1,1,1,1,1,0.2058623953911906,0.23595994142702237,0.30752113502308503,30,3,0.013099417336066985,0.27632345088507837,0.1867494729530617,0,,0.0,0.0,0,nan,1,0,1,0.0016956860795135794,8e41d6ac58477488,0.028577090174316807,55.47550725358207,4,0.561862888729529,-3961765.0303593883,3349009.4358542543,3698311.675745961,0.30425832924806245,0.2667147214602852,1,0.056874848645062794,2,0.2167105965799251,0.3591778676274827,0.1867494729530617,1,0.1891891488427034,0.08072916666666666,0.04243102299472157,2,0.2026442220578553,0.23243560808537125,0.27632345088507837,3.6383005676795186,nan,nan,0,0.07994791666666666,0,e8fbf40b994e527a,64,13.032411335482777,8,0,0,0,nan,-1,0,0
4,177000.79999995232,-3961765.325847057,3349009.4116757535,3698311.585450335,0,0,1,1,1,1,1,0.20582968747472646,0.23593879285873462,0.3028451286646795,30,4,0.013099417336066985,0.2725446665482871,0.18307053981341476,0,,0.0,0.0,0,nan,1,0,1,0.0018390783783022173,8e41d6ac58477488,0.02792481862070609,56.21061301281415,5,0.5569322299312743,-3961765.036701353,3349009.436744558,3698311.676709925,0.3042400303382037,0.2667003813170401,1,0.05558437277500606,2,0.21671074248967018,0.35431732505896335,0.18307053981341476,1,0.1854501896428978,0.08072916666666666,0.042431022994721575,2,0.20261104982061864,0.23241418687271637,0.2725446665482871,3.642378967463817,nan,nan,0,0.07994791666666666,0,e8fbf40b994e527a,64,13.032411335482777,8,0,0,0,nan,-1,0,0
5,177001.0,-3961765.1551638953,3349009.24716077,3698311.4739669757,0,0,1,1,1,1,1,0.27100356517723206,0.41514054382497156,0.5026806281582864,30,0,0.010525283928269118,0.3693651223878057,0.19477690458376762,0,,0.0,0.0,0,nan,1,1,1,0.0019671544486747528,e8fbf40b994e527a,0.04379514573377485,42.93815732992469,6,0.19477690458376762,-3961765.391431113,3349009.2262494313,3698311.6050526355,0.27100356517723206,0.41514054382497156,1,0.08634941562509393,2,0.2166930378684353,0.36561841928260835,0.19477690458376762,1,0.19616360923675683,0.13153678679529088,0.031410513243664506,2,0.2694147805042264,0.4138826207394461,0.3693651223878057,2.9554103318872795,0.010525283928269118,0.004614324904751482,0,0.13084231164222504,0,e8fbf40b994e527a,64,11.928821789167019,8,12,0,0,nan,-1,30,29
6,177001.199999094,-3961765.156896986,3349009.2454644367,3698311.473466487,0,0,1,1,1,1,1,0.27142759681293627,0.41432930745381147,0.5000789404656967,30,1,0.010525283928269118,0.3677175748141455,0.19362071817352325,0,,0.0,0.0,0,nan,1,0,1,0.0018873732933730367,e8fbf40b994e527a,0.04238278748694173,44.36584932574147,7,0.19362071817352325,-3961765.393482126,3349009.224381804,3698311.604828333,0.27142759681293627,0.41432930745381147,1,0.08358644489847118,2,0.2166851510655038,0.36345902531506213,0.19362071817352325,1,0.19499511993348748,0.13225533479713258,0.03153787221166384,2,0.26982581794233285,0.41306696521168224,0.3677175748141455,2.957340457886866,nan,nan,0,0.13155130459411524,0,e8fbf40b994e527a,64,11.908467159649323,8,0,0,0,nan,-1,0,0
7,177001.39999890327,-3961765.160853964,3349009.2451535203,3698311.4745993274,0,0,1,1,1,1,1,0.27158743635264965,0.41412360568069695,0.49578642584670635,30,2,0.010525283928269118,0.36380375284760175,0.19184732354745063,0,,0.0,0.0,0,nan,1,0,1,0.0020902871299353374,e8fbf40b994e527a,0.04103971751604864,45.73924996894876,8,0.19184732354745063,-3961765.397564501,3349009.2240885533,3698311.6060684277,0.27158743635264965,0.41412360568069695,1,0.08095935673739857,2,0.2166840654123297,0.360555860173763,0.19184732354745063,1,0.19319483232531967,0.1323251022395382,0.031551199911866404,2,0.2699845383639704,0.41286103579678374,0.36380375284760175,2.9615225973469723,nan,nan,0,0.1316200894786578,0,e8fbf40b994e527a,64,11.90724057480957,8,0,0,0,nan,-1,0,0
8,177001.59999990463,-3961765.162823227,3349009.2424130864,3698311.4738010173,0,0,1,1,1,1,1,0.2715744664910588,0.4141045996956072,0.49462910533489834,30,3,0.010525283928269118,0.36199261865793314,0.1906161385089283,0,,0.0,0.0,0,nan,1,0,1,0.002230827828503672,e8fbf40b994e527a,0.039763486292639025,47.05385682314682,9,0.1906161385089283,-3961765.3995189094,3349009.221301605,3698311.6052626087,0.2715744664910588,0.4141045996956072,1,0.07846301675853262,2,0.21668373918094241,0.3580606465704584,0.1906161385089283,1,0.1919341238960342,0.13233231260503522,0.03155239671082386,2,0.2699713031522525,0.412842424480727,0.36199261865793314,2.9663154855527036,nan,nan,0,0.13162720017287094,0,e8fbf40b994e527a,64,11.907116853654623,8,0,0,0,nan,-1,0,0
9,177001.79999995232,-3961765.164889187,3349009.2409266084,3698311.4734000196,0,0,1,1,1,1,1,0.2715850740663208,0.41408927180807253,0.4930267256795564,30,4,0.010525283928269118,0.3600255702996937,0.18933996684909124,0,,0.0,0.0,0,nan,1,0,1,0.0021412281540817064,e8fbf40b994e527a,0.038553454605156176,48.30402429147234,10,0.18933996684909124,-3961765.4015930174,3349009.219814553,3698311.604868762,0.2715850740663208,0.41408927180807253,1,0.07609628342739773,2,0.21668428919266447,0.35589653156383433,0.18933996684909124,1,0.1906356574859522,0.13233304397487777,0.0315525046951729,2,0.269981910225465,0.41282717153526516,0.3600255702996937,2.9712839713286647,nan,nan,0,0.1316279210809241,0,e8fbf40b994e527a,64,11.90710452244241,8,0,0,0,nan,-1,0,0
